date,gc001_weighted_average_rate_pct
2006-12-05,1.603
2006-12-06,1.526
2006-12-07,4.147
2006-12-08,2.767
2006-12-11,2.389
2006-12-12,2.59
2006-12-13,2.44
2006-12-14,2.81
2006-12-15,1.8
2006-12-18,2.017
2006-12-19,1.837
2006-12-22,1.703
2006-12-25,2.592
2006-12-26,10.132
2006-12-27,6.934
2006-12-28,7.767
2006-12-29,1.433
2007-01-04,2.059
2007-01-09,1.449
2007-01-10,1.611
2007-01-11,3.254
2007-01-12,2.412
2007-01-15,2.304
2007-01-16,2.181
2007-01-25,8.536
2007-01-26,4.295
2007-01-29,1.615
2007-01-30,1.583
2007-01-31,1.571
2007-02-01,2.776
2007-02-02,1.604
2007-02-05,1.713
2007-02-06,4.287
2007-02-07,2.145
2007-02-08,5.786
2007-02-09,4.59
2007-02-12,33.654
2007-02-13,15.251
2007-02-14,2.795
2007-02-15,6.787
2007-02-16,2.161
2007-02-26,1.689
2007-02-27,1.515
2007-02-28,1.555
2007-03-02,1.481
2007-03-05,1.356
2007-03-06,1.342
2007-03-07,1.305
2007-03-08,1.681
2007-03-09,1.391
2007-03-12,1.439
2007-03-13,1.38
2007-03-14,1.436
2007-03-15,1.926
2007-03-16,3.064
2007-03-19,2.956
2007-03-20,2.466
2007-03-21,1.804
2007-03-22,4.005
2007-03-23,1.997
2007-03-26,2.044
2007-03-27,1.657
2007-03-28,1.603
2007-03-29,1.995
2007-03-30,1.611
2007-04-02,1.643
2007-04-03,1.583
2007-04-04,1.505
2007-04-05,3.028
2007-04-06,3.447
2007-04-09,1.928
2007-04-10,1.882
2007-04-11,1.681
2007-04-13,3.322
2007-04-18,2.102
2007-04-20,4.732
2007-04-25,8.567
2007-04-26,11.99
2007-05-09,2.041
2007-05-10,2.995
2007-05-11,2.064
2007-05-14,2.482
2007-05-16,1.43
2007-05-17,1.688
2007-05-18,1.283
2007-05-21,1.646
2007-05-22,1.511
2007-05-23,1.452
2007-05-24,1.619
2007-05-25,1.558
2007-05-28,1.517
2007-05-29,1.52
2007-05-30,1.502
2007-05-31,3.936
2007-06-01,3.46
2007-06-04,2.726
2007-06-05,1.978
2007-06-06,1.347
2007-06-07,1.588
2007-06-08,1.538
2007-06-11,1.484
2007-06-12,1.416
2007-06-13,1.377
2007-06-14,1.74
2007-06-15,2.872
2007-06-18,29.914
2007-06-19,22.41
2007-06-20,3.283
2007-06-21,1.574
2007-06-22,1.73
2007-06-25,1.486
2007-06-26,1.344
2007-06-27,1.367
2007-06-28,1.726
2007-06-29,1.622
2007-07-02,2.179
2007-07-03,17.387
2007-07-04,5.094
2007-07-05,5.782
2007-07-06,1.544
2007-07-09,1.31
2007-07-10,1.262
2007-07-11,1.613
2007-07-12,15.504
2007-07-13,4.134
2007-07-16,2.128
2007-07-17,1.322
2007-07-18,1.209
2007-07-19,1.442
2007-07-20,1.327
2007-07-23,1.765
2007-07-24,3.284
2007-07-25,2.954
2007-07-26,8.621
2007-07-27,1.832
2007-07-30,2.02
2007-07-31,1.95
2007-08-01,6.593
2007-08-02,5.789
2007-08-03,2.374
2007-08-06,1.837
2007-08-07,1.975
2007-08-08,1.963
2007-08-09,2.425
2007-08-10,1.882
2007-08-13,1.382
2007-08-14,1.293
2007-08-15,1.243
2007-08-16,1.477
2007-08-17,1.27
2007-08-21,1.212
2007-08-22,1.14
2007-08-23,1.421
2007-08-24,1.616
2007-08-27,2.366
2007-08-28,1.804
2007-08-29,1.704
2007-08-30,1.538
2007-08-31,1.661
2007-09-03,1.93
2007-09-04,1.759
2007-09-05,1.74
2007-09-06,1.638
2007-09-07,2.111
2007-09-10,2.26
2007-09-11,22.704
2007-09-12,3.972
2007-09-13,6.305
2007-09-14,3.274
2007-09-17,26.4
2007-09-18,12.457
2007-09-19,6.159
2007-09-20,30.746
2007-09-21,11.219
2007-09-24,8.762
2007-09-25,67.245
2007-09-26,22.288
2007-09-27,14.703
2007-09-28,1.402
2007-10-08,1.44
2007-10-09,1.36
2007-10-10,1.281
2007-10-11,2.687
2007-10-12,2.004
2007-10-15,1.405
2007-10-16,1.271
2007-10-17,1.255
2007-10-18,3.802
2007-10-19,2.175
2007-10-22,2.052
2007-10-23,1.394
2007-10-24,1.326
2007-10-25,2.257
2007-10-26,56.187
2007-10-29,7.552
2007-10-30,2.515
2007-10-31,2.751
2007-11-01,5.661
2007-11-02,1.878
2007-11-05,1.952
2007-11-07,1.599
2007-11-08,2.507
2007-11-09,1.673
2007-11-12,1.454
2007-11-13,1.119
2007-11-14,1.1
2007-11-15,2.275
2007-11-16,1.697
2007-11-19,1.82
2007-11-20,1.683
2007-11-21,29.042
2007-11-22,7.589
2007-11-23,2.37
2007-11-26,1.931
2007-11-27,1.887
2007-11-28,1.835
2007-11-29,1.527
2007-11-30,1.646
2007-12-03,1.653
2007-12-04,1.987
2007-12-05,28.153
2007-12-06,11.3
2007-12-07,2.562
2007-12-10,1.31
2007-12-12,1.356
2007-12-14,68.388
2007-12-17,6.05
2007-12-18,2.222
2007-12-19,1.399
2007-12-20,2.156
2007-12-21,1.827
2007-12-24,1.515
2007-12-25,1.231
2007-12-26,1.258
2007-12-27,1.928
2007-12-28,2.019
2008-01-02,1.453
2008-01-03,5.548
2008-01-04,2.327
2008-01-07,2.038
2008-01-08,1.253
2008-01-09,1.417
2008-01-10,4.143
2008-01-11,1.543
2008-01-14,1.307
2008-01-15,1.138
2008-01-16,1.242
2008-01-17,4.262
2008-01-18,1.642
2008-01-21,1.978
2008-01-22,1.764
2008-01-23,1.519
2008-01-24,2.944
2008-01-25,29.195
2008-01-28,7.829
2008-01-29,2.574
2008-01-30,2.031
2008-01-31,5.391
2008-02-01,3.02
2008-02-04,6.41
2008-02-05,1.904
2008-02-13,1.839
2008-02-14,3.332
2008-02-15,2.015
2008-02-18,1.381
2008-02-19,1.247
2008-02-20,1.251
2008-02-21,3.645
2008-02-22,1.857
2008-02-25,1.81
2008-02-26,9.877
2008-02-27,2.601
2008-02-28,5.023
2008-02-29,1.561
2008-03-03,1.32
2008-03-04,1.461
2008-03-05,1.813
2008-03-06,2.742
2008-03-07,1.662
2008-03-10,1.42
2008-03-11,1.244
