日期,沪深300主连,10年国债主连,沪金主连,豆粕主连,中证1000主连,30年国债主连,沪铜主连,沪铝主连,PTA主连,原油主连
2013-01-04,1475.3035760249,,426.9194836900,1034.0819083075,,,51390.4992572060,14233.0523791839,7875.0679003445,
2013-01-07,1475.3035760249,,429.0741064256,1040.1310327711,,,51267.2184159447,14186.5846926700,7983.5247178329,
2013-01-08,1474.1388013715,,426.5265818970,1047.7720320936,,,51337.6646109512,14163.3508494131,7968.8187086819,
2013-01-09,1470.7609548766,,430.0626980337,1041.7229076300,,,51372.8877084544,14167.9976180645,7880.5826537761,
2013-01-10,1477.9825577278,,429.2515459450,1040.4494077429,,,51760.3417809899,14191.2314613214,7873.2296492006,
2013-01-11,1455.1529745207,,432.6862680706,1037.2656580252,,,51460.9454522125,14172.6443867159,7759.2580782806,
2013-01-14,1506.4030592713,,431.3681459265,1070.0582801175,,,51531.3916472189,14158.7040807618,7836.4646263232,
2013-01-15,1512.1104550731,,432.0652297527,1072.2869049199,,,50809.3181484028,14061.1219390827,7698.5957905328,
2013-01-16,1496.7354296479,,435.3605351131,1084.0667788753,,,51020.6567334221,14084.3557823396,7713.3017996838,
2013-01-17,1491.4939437075,,434.0804357231,1076.4257795529,,,50844.5412459060,14084.3557823396,7731.6843111225,
2013-01-18,1510.9421727158,,436.3491267212,1074.8339046940,,,51408.1108059576,14116.8831628993,7867.7148957690,
2013-01-21,1509.6687767688,,436.0702931907,1078.6544043553,,,51240.8010928173,14089.0025509910,7816.2438637406,
2013-01-22,1506.4274052674,,437.8953853903,1090.7526532825,,,51681.0898116076,14102.9428569452,7757.4198271367,
2013-01-23,1513.9520176813,,437.0208620447,1092.6629031131,,,51593.0320678496,14084.3557823396,7772.1258362877,
2013-01-24,1499.4816091930,,433.1171926178,1069.1031552022,,,51452.1396778367,14056.4751704313,7801.5378545896,
2013-01-25,1500.7550051400,,431.0512896418,1077.0625294964,,,51637.0609397286,14056.4751704313,7851.1706354741,
2013-01-28,1536.4100916552,,428.9853866659,1091.7077781978,,,51452.7369078173,14010.0074839175,7928.3771835167,
2013-01-29,1546.0184428914,,429.7458417491,1088.5240284801,,,51654.6156094344,14014.6542525689,7944.9214438116,
2013-01-30,1562.2253003984,,430.2908345587,1109.2184016451,,,52014.4863384042,14042.5348644772,7974.3334621135,
2013-01-31,1562.6883534700,,432.5721998082,1116.8594009676,,,52391.9117370797,14074.8377708365,7955.9509506748,
2013-02-01,1589.6611948922,,429.2388716936,1120.9982756006,,,52365.5797325210,14033.3054626603,8001.9072292716,
2013-02-04,1591.3976439108,,431.1146608988,1115.2675261088,,,52620.1224432556,14047.1495653857,8132.4230604864,
2013-02-05,1605.2892360596,,433.2692836344,1118.1329008547,,,52444.5757461972,13982.5437526671,8079.1137773142,
2013-02-06,1613.4647999187,,431.9765099930,1124.5004002901,,,52523.5717598735,13941.3513160798,8090.1432841774,
2013-02-07,1612.3133120512,,433.1171926178,1120.3615256571,,,52400.6890719326,13918.4666290869,8167.3498322200,
2013-02-08,1602.9862603246,,432.3060405291,1131.1862746972,,,52391.9117370797,13950.5051908770,8189.4088459464,
2013-02-18,1584.6776032316,,417.9461137086,1112.0837763911,,,51698.5022836990,13858.9664429054,8130.5848093426,
2013-02-19,1559.8054652940,,417.9080909544,1119.1908242621,,,51593.1742654640,13813.1970689196,8104.8492933284,
2013-02-20,1560.4963580144,,416.9448478491,1131.7127657491,,,51487.8462472290,13804.0431941224,8064.4077681632,
2013-02-21,1505.6855355222,,406.6406814722,1134.0817817062,,,50575.0034225253,13698.7736339550,7957.7892018187,
2013-02-22,1493.0191689799,,411.0513209545,1168.2632976573,,,50575.0034225253,13694.1966965564,7981.6864666890,
2013-02-25,1499.8129473980,,410.6964419157,1137.1276593652,,,50276.5740375260,13584.3501989905,7972.3620666111,
2013-02-26,1476.5528924749,,411.3301544850,1122.5751327721,,,50127.3593450264,13556.8885745990,7789.6038250841,
2013-02-27,1489.7950029509,,415.8295137271,1129.3437497921,,,50443.2327804230,13598.0810111862,7795.1984651308,
2013-02-28,1542.0725521347,,413.6875652429,1133.4049200042,,,50609.9437602157,13543.1577624032,7860.4692656762,
2013-03-01,1535.2787737165,,409.5050622854,1146.6037231932,,,49776.3888612523,13433.3112648373,7683.3056641959,
2013-03-04,1466.9955431747,,408.8206527106,1138.8198136202,,,49407.8698532896,13341.7725168656,7521.0611028403,
2013-03-05,1506.1461306692,,409.9740095867,1155.0644944683,,,49951.8741031393,13424.1573900401,7577.0075033078,
2013-03-06,1524.5699365489,,408.5291449287,1149.9880317032,,,49750.0660749693,13520.2730754103,7642.2783038531,
2013-03-07,1505.9158330957,,409.4416910285,1151.3417551072,,,49600.9036193653,13625.5426355777,7575.1426232922,
2013-03-08,1503.6128573607,,407.2236970359,1158.1103721273,,,49785.1631233467,13630.0890295168,7580.7372633390,
2013-03-11,1492.6737226196,,409.0487892355,1146.2652923422,,,49548.2580467992,13543.7075446733,7586.3319033857,
