日期,沪深300主连,10年国债主连,沪金主连,豆粕主连,中证1000主连,30年国债主连,沪铜主连,沪铝主连,PTA主连,原油主连
2013-01-04,1492.9977813875,,425.8119075484,1000.9382574002,,,51355.6661204846,14166.5945699469,8094.2396557283,
2013-01-07,1492.9977813875,,427.9609404507,1006.7934996695,,,51232.4688405519,14120.3438531009,8205.7149451046,
2013-01-08,1491.8190368893,,425.4200250779,1014.1895951675,,,51302.8672862277,14097.2184946778,8190.5996516298,
2013-01-09,1488.4006778446,,428.9469673118,1008.3343528983,,,51338.0665090656,14101.8435663624,8099.9078907814,
2013-01-10,1495.7088937333,,428.1379196309,1007.1016703152,,,51725.2579602824,14124.9689247855,8092.3502440440,
2013-01-11,1472.6055015691,,431.5637309047,1004.0199638577,,,51426.0645661603,14106.4686380470,7975.2067196147,
2013-01-14,1524.4702594888,,430.2490284232,1035.7615403701,,,51496.4630118361,14092.5934229932,8054.5620103571,
2013-01-15,1530.2461075298,,430.9443037740,1037.9187348904,,,50774.8789436593,13995.4669176165,7912.8561340313,
2013-01-16,1514.6866801539,,434.2310599776,1049.3210487832,,,50986.0742806867,14018.5922760395,7927.9714275061,
2013-01-17,1509.3823299121,,432.9542816062,1041.9249532851,,,50810.0781664972,14018.5922760395,7946.8655443495,
2013-01-18,1529.0638132578,,435.2170868387,1040.3841000564,,,51373.2657319035,14050.9677778318,8086.6820089909,
2013-01-21,1527.7751447054,,434.9389766984,1044.0821478054,,,51206.0694234235,14023.2173477241,8033.7784818293,
2013-01-22,1524.4948974811,,436.7593339804,1055.7926323440,,,51646.0597088972,14037.0925627780,7973.3173079303,
2013-01-23,1532.1097571089,,435.8870794494,1057.6416562185,,,51558.0616518024,14018.5922760395,7988.4326014051,
2013-01-24,1517.4657962862,,431.9935374852,1034.8370284329,,,51417.2647604509,13990.8418459319,8018.6631883546,
2013-01-25,1518.7544648386,,429.9329941729,1042.5412945766,,,51602.0606803498,13990.8418459319,8069.6773038319,
2013-01-28,1554.8371843056,,427.8724508606,1056.7171442812,,,51417.8615856214,13944.5911290858,8149.0325945743,
