资产,来源,日期,合约内部编码,合约代码,收盘价,主力标志
10年国债主连,financial,2015-03-20,2005982,T1509,97.0900000000,1.0000000000
10年国债主连,financial,2015-03-20,2005983,T1512,97.4350000000,
10年国债主连,financial,2015-03-20,2005984,T1603,97.7850000000,
10年国债主连,financial,2015-03-23,2005982,T1509,97.0200000000,1.0000000000
10年国债主连,financial,2015-03-23,2005983,T1512,97.4350000000,
10年国债主连,financial,2015-03-23,2005984,T1603,97.1000000000,
10年国债主连,financial,2015-03-24,2005982,T1509,96.9200000000,1.0000000000
10年国债主连,financial,2015-03-24,2005983,T1512,97.4350000000,
10年国债主连,financial,2015-03-24,2005984,T1603,97.5800000000,
10年国债主连,financial,2015-03-25,2005982,T1509,96.8500000000,1.0000000000
10年国债主连,financial,2015-03-25,2005983,T1512,97.5000000000,
10年国债主连,financial,2015-03-25,2005984,T1603,97.5800000000,
10年国债主连,financial,2015-03-26,2005982,T1509,96.3700000000,1.0000000000
10年国债主连,financial,2015-03-26,2005983,T1512,97.0000000000,
10年国债主连,financial,2015-03-26,2005984,T1603,97.5800000000,
10年国债主连,financial,2015-03-27,2005982,T1509,96.4900000000,1.0000000000
10年国债主连,financial,2015-03-27,2005983,T1512,96.8350000000,
10年国债主连,financial,2015-03-27,2005984,T1603,97.2750000000,
10年国债主连,financial,2015-03-30,2005982,T1509,96.1600000000,1.0000000000
10年国债主连,financial,2015-03-30,2005983,T1512,96.6750000000,
10年国债主连,financial,2015-03-30,2005984,T1603,97.2000000000,
10年国债主连,financial,2015-03-31,2005982,T1509,95.6500000000,1.0000000000
10年国债主连,financial,2015-03-31,2005983,T1512,96.1450000000,
10年国债主连,financial,2015-03-31,2005984,T1603,97.2000000000,
10年国债主连,financial,2015-04-01,2005982,T1509,96.0950000000,1.0000000000
10年国债主连,financial,2015-04-01,2005983,T1512,96.1450000000,
10年国债主连,financial,2015-04-01,2005984,T1603,97.2000000000,
10年国债主连,financial,2015-04-02,2005982,T1509,96.3200000000,1.0000000000
10年国债主连,financial,2015-04-02,2005983,T1512,96.6950000000,
10年国债主连,financial,2015-04-02,2005984,T1603,97.2000000000,
10年国债主连,financial,2015-04-03,2005982,T1509,96.0100000000,1.0000000000
10年国债主连,financial,2015-04-03,2005983,T1512,96.6950000000,
10年国债主连,financial,2015-04-03,2005984,T1603,97.2000000000,
10年国债主连,financial,2015-04-07,2005982,T1509,95.9300000000,1.0000000000
10年国债主连,financial,2015-04-07,2005983,T1512,96.4000000000,
10年国债主连,financial,2015-04-07,2005984,T1603,97.2000000000,
10年国债主连,financial,2015-04-08,2005982,T1509,95.1600000000,1.0000000000
10年国债主连,financial,2015-04-08,2005983,T1512,95.5500000000,
10年国债主连,financial,2015-04-08,2005984,T1603,96.8300000000,
10年国债主连,financial,2015-04-09,2005982,T1509,95.2650000000,1.0000000000
10年国债主连,financial,2015-04-09,2005983,T1512,95.7600000000,
10年国债主连,financial,2015-04-09,2005984,T1603,96.2000000000,
10年国债主连,financial,2015-04-10,2005982,T1509,95.1900000000,1.0000000000
10年国债主连,financial,2015-04-10,2005983,T1512,95.7600000000,
10年国债主连,financial,2015-04-10,2005984,T1603,96.2000000000,
10年国债主连,financial,2015-04-13,2005982,T1509,95.6300000000,1.0000000000
10年国债主连,financial,2015-04-13,2005983,T1512,95.8000000000,
10年国债主连,financial,2015-04-13,2005984,T1603,96.3800000000,
10年国债主连,financial,2015-04-14,2005982,T1509,95.5700000000,1.0000000000
10年国债主连,financial,2015-04-14,2005983,T1512,96.3000000000,
10年国债主连,financial,2015-04-14,2005984,T1603,96.7000000000,
10年国债主连,financial,2015-04-15,2005982,T1509,96.1500000000,1.0000000000
10年国债主连,financial,2015-04-15,2005983,T1512,96.4150000000,
10年国债主连,financial,2015-04-15,2005984,T1603,96.8800000000,
10年国债主连,financial,2015-04-16,2005982,T1509,96.1800000000,1.0000000000
10年国债主连,financial,2015-04-16,2005983,T1512,96.4150000000,
10年国债主连,financial,2015-04-16,2005984,T1603,96.8800000000,
10年国债主连,financial,2015-04-17,2005982,T1509,96.3000000000,1.0000000000
10年国债主连,financial,2015-04-17,2005983,T1512,96.8000000000,
10年国债主连,financial,2015-04-17,2005984,T1603,96.8800000000,
10年国债主连,financial,2015-04-20,2005982,T1509,97.2500000000,1.0000000000
10年国债主连,financial,2015-04-20,2005983,T1512,97.6950000000,
10年国债主连,financial,2015-04-20,2005984,T1603,98.3950000000,
10年国债主连,financial,2015-04-21,2005982,T1509,97.3900000000,1.0000000000
10年国债主连,financial,2015-04-21,2005983,T1512,98.0850000000,
10年国债主连,financial,2015-04-21,2005984,T1603,98.3950000000,
10年国债主连,financial,2015-04-22,2005982,T1509,97.4200000000,1.0000000000
10年国债主连,financial,2015-04-22,2005983,T1512,97.8050000000,
10年国债主连,financial,2015-04-22,2005984,T1603,98.1000000000,
10年国债主连,financial,2015-04-23,2005982,T1509,97.3400000000,1.0000000000
10年国债主连,financial,2015-04-23,2005983,T1512,97.6200000000,
10年国债主连,financial,2015-04-23,2005984,T1603,97.7000000000,
10年国债主连,financial,2015-04-24,2005982,T1509,97.0300000000,1.0000000000
10年国债主连,financial,2015-04-24,2005983,T1512,97.3500000000,
10年国债主连,financial,2015-04-24,2005984,T1603,98.0600000000,
10年国债主连,financial,2015-04-27,2005982,T1509,97.7600000000,1.0000000000
10年国债主连,financial,2015-04-27,2005983,T1512,98.1000000000,
10年国债主连,financial,2015-04-27,2005984,T1603,98.2050000000,
10年国债主连,financial,2015-04-28,2005982,T1509,97.7400000000,1.0000000000
10年国债主连,financial,2015-04-28,2005983,T1512,98.2850000000,
10年国债主连,financial,2015-04-28,2005984,T1603,98.2500000000,
10年国债主连,financial,2015-04-29,2005982,T1509,97.6900000000,1.0000000000
10年国债主连,financial,2015-04-29,2005983,T1512,98.0900000000,
10年国债主连,financial,2015-04-29,2005984,T1603,98.2500000000,
10年国债主连,financial,2015-04-30,2005982,T1509,97.9550000000,1.0000000000
10年国债主连,financial,2015-04-30,2005983,T1512,98.3250000000,
10年国债主连,financial,2015-04-30,2005984,T1603,98.4700000000,
10年国债主连,financial,2015-05-04,2005982,T1509,97.6000000000,1.0000000000
10年国债主连,financial,2015-05-04,2005983,T1512,98.0050000000,
10年国债主连,financial,2015-05-04,2005984,T1603,98.4700000000,
10年国债主连,financial,2015-05-05,2005982,T1509,97.5050000000,1.0000000000
10年国债主连,financial,2015-05-05,2005983,T1512,98.0050000000,
10年国债主连,financial,2015-05-05,2005984,T1603,98.0950000000,
10年国债主连,financial,2015-05-06,2005982,T1509,97.1550000000,1.0000000000
10年国债主连,financial,2015-05-06,2005983,T1512,97.4800000000,
10年国债主连,financial,2015-05-06,2005984,T1603,97.8250000000,
10年国债主连,financial,2015-05-07,2005982,T1509,97.2000000000,1.0000000000
10年国债主连,financial,2015-05-07,2005983,T1512,97.6000000000,
10年国债主连,financial,2015-05-07,2005984,T1603,97.9950000000,
10年国债主连,financial,2015-05-08,2005982,T1509,97.4500000000,1.0000000000
10年国债主连,financial,2015-05-08,2005983,T1512,97.9500000000,
10年国债主连,financial,2015-05-08,2005984,T1603,97.9950000000,
10年国债主连,financial,2015-05-11,2005982,T1509,97.3200000000,1.0000000000
10年国债主连,financial,2015-05-11,2005983,T1512,97.8950000000,
10年国债主连,financial,2015-05-11,2005984,T1603,98.1000000000,
10年国债主连,financial,2015-05-12,2005982,T1509,96.9900000000,1.0000000000
10年国债主连,financial,2015-05-12,2005983,T1512,97.4800000000,
10年国债主连,financial,2015-05-12,2005984,T1603,97.8650000000,
10年国债主连,financial,2015-05-13,2005982,T1509,97.2250000000,1.0000000000
10年国债主连,financial,2015-05-13,2005983,T1512,97.7000000000,
10年国债主连,financial,2015-05-13,2005984,T1603,98.1750000000,
10年国债主连,financial,2015-05-14,2005982,T1509,97.1000000000,1.0000000000
10年国债主连,financial,2015-05-14,2005983,T1512,97.8050000000,
10年国债主连,financial,2015-05-14,2005984,T1603,98.1750000000,
10年国债主连,financial,2015-05-15,2005982,T1509,97.1850000000,1.0000000000
10年国债主连,financial,2015-05-15,2005983,T1512,97.7100000000,
10年国债主连,financial,2015-05-15,2005984,T1603,98.1750000000,
10年国债主连,financial,2015-05-18,2005982,T1509,96.7050000000,1.0000000000
10年国债主连,financial,2015-05-18,2005983,T1512,97.3200000000,
10年国债主连,financial,2015-05-18,2005984,T1603,97.7000000000,
10年国债主连,financial,2015-05-19,2005982,T1509,96.5600000000,1.0000000000
10年国债主连,financial,2015-05-19,2005983,T1512,97.1450000000,
10年国债主连,financial,2015-05-19,2005984,T1603,97.5450000000,
10年国债主连,financial,2015-05-20,2005982,T1509,96.8800000000,1.0000000000
10年国债主连,financial,2015-05-20,2005983,T1512,97.3450000000,
10年国债主连,financial,2015-05-20,2005984,T1603,97.8750000000,
10年国债主连,financial,2015-05-21,2005982,T1509,96.6750000000,1.0000000000
10年国债主连,financial,2015-05-21,2005983,T1512,97.2100000000,
10年国债主连,financial,2015-05-21,2005984,T1603,97.8750000000,
10年国债主连,financial,2015-05-22,2005982,T1509,96.7400000000,1.0000000000
10年国债主连,financial,2015-05-22,2005983,T1512,97.3900000000,
10年国债主连,financial,2015-05-22,2005984,T1603,97.8750000000,
10年国债主连,financial,2015-05-25,2005982,T1509,96.5200000000,1.0000000000
10年国债主连,financial,2015-05-25,2005983,T1512,97.1000000000,
10年国债主连,financial,2015-05-25,2005984,T1603,97.8750000000,
10年国债主连,financial,2015-05-26,2005982,T1509,95.6600000000,1.0000000000
10年国债主连,financial,2015-05-26,2005983,T1512,96.2100000000,
10年国债主连,financial,2015-05-26,2005984,T1603,97.1650000000,
10年国债主连,financial,2015-05-27,2005982,T1509,95.8000000000,1.0000000000
10年国债主连,financial,2015-05-27,2005983,T1512,96.3200000000,
10年国债主连,financial,2015-05-27,2005984,T1603,97.1650000000,
10年国债主连,financial,2015-05-28,2005982,T1509,95.0000000000,1.0000000000
10年国债主连,financial,2015-05-28,2005983,T1512,95.7750000000,
10年国债主连,financial,2015-05-28,2005984,T1603,96.1150000000,
10年国债主连,financial,2015-05-29,2005982,T1509,94.9200000000,1.0000000000
10年国债主连,financial,2015-05-29,2005983,T1512,95.5000000000,
10年国债主连,financial,2015-05-29,2005984,T1603,96.1150000000,
10年国债主连,financial,2015-06-01,2005982,T1509,94.2150000000,1.0000000000
10年国债主连,financial,2015-06-01,2005983,T1512,94.7650000000,
10年国债主连,financial,2015-06-01,2005984,T1603,95.5550000000,
10年国债主连,financial,2015-06-02,2005982,T1509,94.9900000000,1.0000000000
10年国债主连,financial,2015-06-02,2005983,T1512,95.5600000000,
10年国债主连,financial,2015-06-02,2005984,T1603,95.3850000000,
10年国债主连,financial,2015-06-03,2005982,T1509,95.0600000000,1.0000000000
10年国债主连,financial,2015-06-03,2005983,T1512,95.6000000000,
10年国债主连,financial,2015-06-03,2005984,T1603,95.9000000000,
10年国债主连,financial,2015-06-04,2005982,T1509,94.9100000000,1.0000000000
10年国债主连,financial,2015-06-04,2005983,T1512,95.4700000000,
10年国债主连,financial,2015-06-04,2005984,T1603,95.9100000000,
10年国债主连,financial,2015-06-05,2005982,T1509,95.3000000000,1.0000000000
10年国债主连,financial,2015-06-05,2005983,T1512,95.8800000000,
10年国债主连,financial,2015-06-05,2005984,T1603,95.7850000000,
10年国债主连,financial,2015-06-08,2005982,T1509,95.5600000000,1.0000000000
10年国债主连,financial,2015-06-08,2005983,T1512,96.0800000000,
10年国债主连,financial,2015-06-08,2005984,T1603,95.7850000000,
10年国债主连,financial,2015-06-09,2005982,T1509,95.4750000000,1.0000000000
10年国债主连,financial,2015-06-09,2005983,T1512,96.0750000000,
10年国债主连,financial,2015-06-09,2005984,T1603,96.2000000000,
10年国债主连,financial,2015-06-10,2005982,T1509,94.9800000000,1.0000000000
10年国债主连,financial,2015-06-10,2005983,T1512,95.5350000000,
10年国债主连,financial,2015-06-10,2005984,T1603,96.1800000000,
10年国债主连,financial,2015-06-11,2005982,T1509,94.8300000000,1.0000000000
10年国债主连,financial,2015-06-11,2005983,T1512,95.3900000000,
10年国债主连,financial,2015-06-11,2005984,T1603,96.1600000000,
10年国债主连,financial,2015-06-12,2005982,T1509,94.6200000000,1.0000000000
10年国债主连,financial,2015-06-12,2005983,T1512,95.1600000000,
10年国债主连,financial,2015-06-12,2005984,T1603,95.5850000000,
10年国债主连,financial,2015-06-15,2005982,T1509,94.2050000000,1.0000000000
10年国债主连,financial,2015-06-15,2005983,T1512,94.8000000000,
10年国债主连,financial,2015-06-15,2005984,T1603,95.5850000000,
10年国债主连,financial,2015-06-16,2005982,T1509,95.1300000000,1.0000000000
10年国债主连,financial,2015-06-16,2005983,T1512,95.5800000000,
10年国债主连,financial,2015-06-16,2005984,T1603,95.6050000000,
10年国债主连,financial,2015-06-17,2005982,T1509,94.9600000000,1.0000000000
10年国债主连,financial,2015-06-17,2005983,T1512,95.4250000000,
10年国债主连,financial,2015-06-17,2005984,T1603,95.9750000000,
10年国债主连,financial,2015-06-18,2005982,T1509,95.2500000000,1.0000000000
10年国债主连,financial,2015-06-18,2005983,T1512,95.7950000000,
10年国债主连,financial,2015-06-18,2005984,T1603,95.9750000000,
10年国债主连,financial,2015-06-19,2005982,T1509,95.0200000000,1.0000000000
10年国债主连,financial,2015-06-19,2005983,T1512,95.4900000000,
10年国债主连,financial,2015-06-19,2005984,T1603,95.9900000000,
10年国债主连,financial,2015-06-23,2005982,T1509,94.9100000000,1.0000000000
10年国债主连,financial,2015-06-23,2005983,T1512,95.4600000000,
10年国债主连,financial,2015-06-23,2005984,T1603,95.8000000000,
10年国债主连,financial,2015-06-24,2005982,T1509,94.8850000000,1.0000000000
10年国债主连,financial,2015-06-24,2005983,T1512,95.4000000000,
10年国债主连,financial,2015-06-24,2005984,T1603,95.8000000000,
10年国债主连,financial,2015-06-25,2005982,T1509,94.8000000000,1.0000000000
10年国债主连,financial,2015-06-25,2005983,T1512,95.2600000000,
10年国债主连,financial,2015-06-25,2005984,T1603,96.0000000000,
10年国债主连,financial,2015-06-26,2005982,T1509,94.7150000000,1.0000000000
10年国债主连,financial,2015-06-26,2005983,T1512,95.2050000000,
10年国债主连,financial,2015-06-26,2005984,T1603,96.0000000000,
10年国债主连,financial,2015-06-29,2005982,T1509,94.5350000000,1.0000000000
10年国债主连,financial,2015-06-29,2005983,T1512,95.0550000000,
10年国债主连,financial,2015-06-29,2005984,T1603,95.3500000000,
10年国债主连,financial,2015-06-30,2005982,T1509,94.7550000000,1.0000000000
10年国债主连,financial,2015-06-30,2005983,T1512,95.2100000000,
10年国债主连,financial,2015-06-30,2005984,T1603,95.3500000000,
10年国债主连,financial,2015-07-01,2005982,T1509,94.6450000000,1.0000000000
10年国债主连,financial,2015-07-01,2005983,T1512,95.1300000000,
10年国债主连,financial,2015-07-01,2005984,T1603,95.3500000000,
10年国债主连,financial,2015-07-02,2005982,T1509,94.6100000000,1.0000000000
10年国债主连,financial,2015-07-02,2005983,T1512,95.0350000000,
10年国债主连,financial,2015-07-02,2005984,T1603,95.3500000000,
10年国债主连,financial,2015-07-03,2005982,T1509,95.2200000000,1.0000000000
10年国债主连,financial,2015-07-03,2005983,T1512,95.6000000000,
10年国债主连,financial,2015-07-03,2005984,T1603,95.3500000000,
10年国债主连,financial,2015-07-06,2005982,T1509,95.9200000000,1.0000000000
10年国债主连,financial,2015-07-06,2005983,T1512,96.2850000000,
10年国债主连,financial,2015-07-06,2005984,T1603,96.3650000000,
10年国债主连,financial,2015-07-07,2005982,T1509,96.2800000000,1.0000000000
10年国债主连,financial,2015-07-07,2005983,T1512,96.8450000000,
10年国债主连,financial,2015-07-07,2005984,T1603,96.3650000000,
10年国债主连,financial,2015-07-08,2005982,T1509,95.8000000000,1.0000000000
10年国债主连,financial,2015-07-08,2005983,T1512,96.4000000000,
10年国债主连,financial,2015-07-08,2005984,T1603,96.7000000000,
10年国债主连,financial,2015-07-09,2005982,T1509,96.1500000000,1.0000000000
10年国债主连,financial,2015-07-09,2005983,T1512,96.7000000000,
10年国债主连,financial,2015-07-09,2005984,T1603,96.7000000000,
10年国债主连,financial,2015-07-10,2005982,T1509,95.9500000000,1.0000000000
10年国债主连,financial,2015-07-10,2005983,T1512,96.4850000000,
