日期,沪深300主连,10年国债主连,沪金主连,豆粕主连,中证1000主连,中证500主连,30年国债主连,沪铜主连,沪铝主连,PTA主连,原油主连
2013-01-04,1444.4404262232,,429.4506085415,1052.8895039117,,,,51294.9512868022,14289.7432067872,7645.2407439055,
2013-01-07,1444.4404262232,,431.6180056277,1059.0486481772,,,,51171.8996558880,14243.0904375845,7750.5323414523,
2013-01-08,1443.3000184969,,429.0553773081,1066.8286198810,,,,51242.2148735533,14219.7640529831,7736.2555146663,
2013-01-09,1439.9928360904,,432.6124584084,1060.6694756155,,,,51277.3724823859,14224.4293299034,7650.5945539502,
2013-01-10,1447.0633639939,,431.7964971524,1059.3728136648,,,,51664.1061795448,14247.7557145047,7643.4561405572,
2013-01-11,1424.7113725570,,435.2515830958,1056.1311587883,,,,51365.2665044675,14229.0946068236,7532.8107329657,
2013-01-14,1474.8893125174,,433.9256460548,1089.5202040170,,,,51435.5817221327,14215.0987760628,7607.7640735922,
2013-01-15,1480.4773103766,,434.6268627592,1091.7893624306,,,,50714.8507410639,14117.1279607372,7473.9188224734,
2013-01-16,1465.4239283885,,437.9417053616,1103.7834854739,,,,50925.7963940596,14140.4543453385,7488.1956492594,
2013-01-17,1460.2920936198,,436.6540165045,1096.0035137701,,,,50750.0083498965,14140.4543453385,7506.0416827420,
2013-01-18,1479.3334683271,,438.9361581423,1094.3826863318,,,,51312.5300912185,14173.1112837804,7638.1023305125,
2013-01-21,1478.0867116498,,438.6556714606,1098.2726721837,,,,51145.5314492635,14145.1196222588,7588.1334367615,
2013-01-22,1474.9131491986,,440.4915842866,1110.5909607147,,,,51585.0015596714,14159.1154530196,7531.0261296175,
2013-01-23,1482.2803477460,,439.6118760574,1112.5359536407,,,,51497.1075375898,14140.4543453385,7545.3029564035,
2013-01-24,1468.1126582317,,435.6850625130,1088.5477075540,,,,51356.4771022593,14112.4626838169,7573.8566099755,
2013-01-25,1469.3594149090,,433.6069111892,1096.6518447454,,,,51541.0545486306,14112.4626838169,7622.0409003782,
2013-01-28,1504.2686018723,,431.5287598653,1111.5634571777,,,,51357.0732218379,14065.8099146142,7696.9942410048,
2013-01-29,1513.6759477098,,432.2937235428,1108.3218023011,,,,51558.5765797537,14070.4751915345,7713.0556711390,
2013-01-30,1529.5437599658,,432.8419475117,1129.3925589989,,,,51917.7782177775,14098.4668530561,7741.6093247110,
2013-01-31,1529.9971260303,,435.1368385441,1137.1725307026,,,,52294.5018869244,14130.8984232077,7723.7632912285,
2013-02-01,1556.4056992850,,431.7837477578,1141.3866820422,,,,52268.2188402397,14089.2006901556,7768.3783749348,
2013-02-04,1558.1058220267,,433.6706581623,1135.5517032644,,,,52522.2882915248,14103.0999345063,7895.0852126606,
2013-02-05,1571.7068039604,,435.8380552485,1138.4691926533,,,,52347.0679802937,14038.2367942031,7843.3317155613,
2013-02-06,1579.7113361375,,434.5376169968,1144.9525024064,,,,52425.9171203477,13996.8802864624,7854.0393356508,
2013-02-07,1578.5839372394,,435.6850625130,1140.7383510669,,,,52303.2629024859,13973.9044488287,7928.9926762773,
2013-02-08,1569.4520061641,,434.8691012570,1151.7599776472,,,,52294.5018869244,14006.0706215159,7950.4079164563,
2013-02-18,1551.5263636829,,420.4240371471,1132.3100483878,,,,51602.3816575615,13914.1672709810,7893.3006093123,
2013-02-19,1527.1745474821,,420.3857889633,1139.5463572789,,,,51497.2494708228,13868.2155957135,7868.3161624368,
2013-02-20,1527.8509868210,,419.4168349718,1152.2960443727,,,,51392.1172840842,13859.0252606601,7829.0548887753,
2013-02-21,1474.1867992674,,409.0515771418,1154.7081473364,,,,50480.9716656824,13753.3364075449,7725.5478945768,
2013-02-22,1461.7854113873,,413.4883664712,1189.5113472412,,,,50480.9716656824,13748.7412400182,7748.7477381040,
2013-02-25,1468.4370648866,,413.1313834218,1157.8094225754,,,,50183.0971365895,13638.4572193763,7739.6954627091,
2013-02-26,1445.6636071433,,413.7688531530,1142.9922186556,,,,50034.1598720431,13610.8862142159,7562.2708649674,
2013-02-27,1458.6286944724,,418.2948882448,1149.8839414090,,,,50349.4460186199,13652.2427219566,7567.7022302044,
2013-02-28,1509.8126044500,,416.1402405532,1154.0189750611,,,,50515.8470404244,13597.1007116356,7631.0681579693,
2013-03-01,1503.1609509507,,411.9329403270,1167.4578344302,,,,49683.8419314021,13486.8166909938,7459.0749254646,
2013-03-04,1436.3061962883,,411.2444730173,1159.5323532638,,,,49316.0080937291,13394.9133404589,7301.5653335920,
2013-03-05,1474.6377588267,,412.4046679281,1176.0724878720,,,,49859.0009017226,13477.6263559403,7355.8789859618,
2013-03-06,1492.6761411976,,410.9512369409,1170.9036958070,,,,49657.5680858540,13574.1248740019,7419.2449137267,
2013-03-07,1474.4122790470,,411.8691933539,1172.2820403576,,,,49508.6829610816,13679.8137271170,7354.0685308828,
2013-03-08,1472.1574812506,,409.6380492946,1179.1737631111,,,,49692.5998799181,13684.3782295285,7359.4998961198,
2013-03-11,1461.4471917179,,411.4739621205,1167.1132482926,,,,49456.1352699855,13597.6526837109,7364.9312613568,
2013-03-12,1439.0119536440,,410.6707502592,1151.9514582350,,,,49342.2819392772,13524.6206451277,7268.9771421700,
2013-03-13,1425.5959067556,,413.4628676820,1151.9514582350,,,,49788.9373135944,13625.0396981796,7310.6176089869,
2013-03-14,1422.7774095101,,411.7416994077,1127.8304285980,,,,49718.8737254662,13588.5236788880,7290.7026031180,
2013-03-15,1425.2527834136,,413.3226243411,1132.9992206631,,,,50025.4019235270,13547.4431571850,7462.6958356226,
2013-03-18,1412.5383629095,,413.3481231304,1103.3648128234,,,,48431.4552936107,13405.9435824300,7325.1012496189,
2013-03-19,1423.2274774926,,415.2860311133,1106.1215019248,,,,48168.7168381300,13378.5565679613,7345.0162554879,
2013-03-20,1468.3467927329,,416.7522114952,1120.9387058446,,,,48554.6981786650,13437.8950993102,7317.8594293029,
