date,沪深300ETF,中证1000ETF,红利低波ETF,10年国债ETF,30年国债ETF,有色ETF,能源化工ETF,豆粕ETF,黄金ETF
2013-01-04,0.0023770000,-0.0045060000,0.0002790000,-0.0015610000,-0.0016680000,0.0065150000,0.0134380000,0.0000000000,-0.0176560000
2013-01-07,0.0015810000,0.0148140000,0.0088520000,0.0004600000,0.0005020000,-0.0027010000,0.0094280000,0.0058500000,-0.0072260000
2013-01-08,-0.0043410000,0.0148680000,-0.0018150000,0.0009010000,0.0009770000,0.0003440000,-0.0005950000,0.0073470000,0.0000450000
2013-01-09,-0.0007930000,0.0014520000,-0.0016580000,0.0006340000,0.0007200000,0.0003240000,-0.0094040000,-0.0057740000,0.0017220000
2013-01-10,0.0023800000,0.0075220000,0.0012410000,-0.0004220000,-0.0004920000,0.0062510000,0.0014690000,-0.0012210000,0.0111880000
2013-01-11,-0.0150380000,-0.0197550000,-0.0170670000,-0.0009180000,-0.0011850000,-0.0038920000,-0.0131210000,-0.0030610000,-0.0211090000
2013-01-14,0.0353560000,0.0359980000,0.0336280000,0.0007540000,0.0000910000,0.0017360000,0.0079100000,0.0316130000,0.0191720000
2013-01-15,0.0058210000,0.0196030000,0.0095150000,-0.0004230000,0.0008300000,-0.0126430000,-0.0127460000,0.0020870000,0.0155260000
2013-01-16,-0.0073300000,-0.0009100000,-0.0100730000,0.0003120000,-0.0001000000,0.0047080000,0.0000600000,0.0109840000,0.0204210000
2013-01-17,-0.0062180000,-0.0117860000,-0.0070720000,0.0004590000,0.0007200000,-0.0026940000,0.0065950000,-0.0070490000,-0.0227210000
2013-01-18,0.0148610000,0.0157430000,0.0151300000,0.0007710000,0.0016590000,0.0105750000,0.0260590000,-0.0014790000,0.0137940000
2013-01-21,0.0034680000,0.0082910000,0.0073400000,0.0002290000,0.0003370000,-0.0031840000,-0.0055700000,0.0035500000,-0.0045050000
2013-01-22,-0.0015360000,-0.0197240000,-0.0065870000,0.0005600000,0.0007000000,0.0081060000,-0.0052310000,0.0112170000,-0.0150490000
2013-01-23,0.0019230000,0.0035690000,0.0035320000,0.0003480000,0.0008270000,-0.0013150000,0.0046800000,0.0017540000,-0.0045850000
2013-01-24,-0.0065260000,-0.0247440000,-0.0071640000,-0.0004490000,-0.0010170000,-0.0027890000,-0.0017870000,-0.0215590000,-0.0251900000
2013-01-25,-0.0046370000,-0.0009380000,-0.0032370000,0.0016410000,0.0001640000,0.0038910000,0.0056150000,0.0074380000,0.0020150000
2013-01-28,0.0271740000,0.0261420000,0.0275440000,-0.0017580000,-0.0006180000,-0.0033510000,0.0055540000,0.0136050000,0.0099760000
2013-01-29,0.0075590000,0.0094450000,0.0035770000,0.0009350000,-0.0006550000,0.0026480000,0.0036760000,-0.0029170000,0.0152570000
2013-01-30,0.0056260000,-0.0007120000,0.0093190000,0.0000370000,-0.0000460000,0.0075040000,0.0050510000,0.0190090000,-0.0102060000
2013-01-31,0.0026110000,-0.0059660000,-0.0003670000,0.0002110000,0.0000550000,0.0068680000,-0.0044500000,0.0068890000,0.0139240000
2013-02-01,0.0193450000,0.0055700000,0.0177830000,-0.0007330000,0.0006730000,-0.0001770000,0.0041810000,0.0037040000,-0.0062210000
2013-02-04,0.0018250000,-0.0094660000,0.0053250000,0.0002200000,0.0034280000,0.0040220000,0.0131130000,-0.0051100000,0.0182950000
2013-02-05,0.0072860000,0.0090180000,0.0115110000,-0.0000920000,-0.0036070000,-0.0032200000,-0.0072810000,0.0025680000,0.0032810000
2013-02-06,0.0028930000,0.0065070000,-0.0028430000,-0.0003390000,-0.0002460000,0.0005220000,0.0038720000,0.0056970000,-0.0024370000
2013-02-07,-0.0046880000,0.0052320000,-0.0079050000,0.0002290000,0.0009100000,-0.0017480000,0.0052920000,-0.0036780000,0.0152180000
2013-02-08,0.0032610000,0.0148540000,0.0049170000,0.0001190000,0.0000730000,0.0012880000,0.0004730000,0.0096540000,-0.0033900000
2013-02-18,-0.0148070000,0.0112230000,-0.0020620000,0.0016770000,0.0017180000,-0.0114450000,-0.0020500000,-0.0168850000,-0.0376340000
2013-02-19,-0.0161290000,-0.0158100000,-0.0106020000,0.0004300000,-0.0000540000,-0.0012410000,-0.0003600000,0.0077270000,-0.0126070000
2013-02-20,0.0044710000,0.0216150000,0.0058780000,0.0001280000,0.0001720000,-0.0005010000,-0.0034280000,0.0177070000,0.0058420000
2013-02-21,-0.0356080000,-0.0178790000,-0.0298360000,0.0019570000,0.0019230000,-0.0174120000,-0.0167140000,0.0044610000,-0.0402290000
2013-02-22,-0.0030770000,-0.0016190000,-0.0088180000,-0.0010310000,-0.0014490000,0.0002600000,0.0010920000,0.0270070000,0.0069780000
2013-02-25,0.0015430000,0.0125160000,0.0129730000,-0.0001190000,-0.0003170000,-0.0061750000,-0.0073070000,-0.0231070000,-0.0010190000
2013-02-26,-0.0146380000,-0.0124370000,-0.0141930000,-0.0008320000,-0.0012250000,-0.0028410000,-0.0165500000,-0.0132260000,-0.0129950000
2013-02-27,0.0093820000,0.0004270000,0.0060220000,0.0001550000,0.0004720000,0.0065340000,0.0031340000,0.0060360000,0.0083910000
2013-02-28,0.0336950000,0.0187720000,0.0245620000,0.0001010000,0.0001090000,0.0018940000,0.0075410000,0.0035890000,0.0086850000
2013-03-01,-0.0011240000,0.0159660000,0.0047860000,-0.0004390000,-0.0004180000,-0.0151160000,-0.0163670000,0.0116490000,-0.0056740000
2013-03-04,-0.0472620000,-0.0299310000,-0.0289190000,0.0010520000,0.0011530000,-0.0068050000,-0.0153370000,-0.0067930000,-0.0241640000
2013-03-05,0.0287400000,0.0233950000,0.0324080000,0.0009690000,0.0012240000,0.0101860000,0.0057170000,0.0142720000,0.0103300000
2013-03-06,0.0107160000,0.0172140000,0.0146470000,0.0003100000,0.0002900000,-0.0036480000,0.0044590000,-0.0043950000,0.0033320000
2013-03-07,-0.0121170000,-0.0120640000,-0.0138970000,-0.0001550000,-0.0001900000,-0.0031620000,-0.0090490000,0.0011750000,0.0051070000
2013-03-08,-0.0015330000,-0.0099390000,0.0028030000,0.0001280000,0.0000820000,0.0028060000,-0.0012510000,0.0058760000,-0.0101330000
2013-03-11,-0.0069100000,0.0007680000,-0.0048860000,-0.0000640000,0.0001270000,-0.0040780000,-0.0005350000,-0.0102250000,-0.0005070000
2013-03-12,-0.0143020000,-0.0276350000,-0.0193910000,0.0000910000,0.0000910000,-0.0021780000,-0.0084300000,-0.0129920000,-0.0144730000
2013-03-13,-0.0109800000,-0.0079870000,-0.0123040000,-0.0001370000,-0.0001720000,0.0081690000,0.0001730000,0.0000000000,0.0003030000
2013-03-14,0.0019830000,0.0035900000,0.0024030000,0.0002830000,0.0002540000,-0.0006810000,-0.0007950000,-0.0209430000,-0.0147230000
2013-03-15,0.0007910000,0.0014610000,0.0048010000,-0.0005750000,-0.0004800000,0.0055080000,0.0153720000,0.0045830000,-0.0076190000
2013-03-18,-0.0106760000,-0.0116660000,-0.0049410000,0.0003560000,0.0003620000,-0.0304320000,-0.0134620000,-0.0261500000,-0.0060240000
2013-03-19,0.0087930000,0.0010570000,0.0101880000,-0.0004930000,-0.0004620000,-0.0049410000,0.0024950000,0.0024930000,0.0146310000
2013-03-20,0.0305070000,0.0254590000,0.0298360000,0.0007030000,0.0006890000,0.0071090000,-0.0016760000,0.0133970000,0.0151770000
2013-03-21,0.0026910000,0.0129550000,0.0149400000,0.0002010000,0.0001810000,0.0065150000,0.0014960000,0.0058380000,-0.0041500000
2013-03-22,0.0026840000,0.0023570000,0.0040210000,0.0006660000,0.0007150000,-0.0027300000,-0.0129430000,-0.0015250000,0.0055610000
2013-03-25,-0.0015300000,0.0018810000,0.0069070000,0.0001190000,0.0003440000,0.0043010000,0.0019040000,-0.0027590000,-0.0065680000
2013-03-26,-0.0164690000,-0.0052420000,-0.0132400000,0.0003370000,0.0003620000,-0.0023880000,-0.0059480000,0.0052260000,-0.0154900000
2013-03-27,0.0023360000,0.0030310000,0.0001610000,0.0008380000,0.0007860000,-0.0033530000,-0.0078960000,0.0048850000,-0.0068470000
2013-03-28,-0.0310800000,-0.0301930000,-0.0331590000,0.0006370000,0.0008940000,-0.0043260000,0.0001980000,-0.0018290000,0.0054770000
2013-03-29,-0.0028070000,0.0005340000,0.0044150000,0.0010370000,0.0010380000,-0.0076690000,-0.0042810000,-0.0170410000,-0.0136170000
2013-04-01,-0.0016080000,0.0083910000,0.0083960000,0.0006000000,0.0009010000,-0.0178260000,-0.0148530000,-0.0105370000,-0.0187890000
2013-04-02,0.0016110000,-0.0168890000,-0.0056120000,0.0012450000,0.0010630000,0.0116890000,0.0183040000,0.0031330000,0.0041640000
2013-04-03,-0.0020100000,-0.0102060000,-0.0042490000,0.0018960000,0.0018530000,-0.0078530000,0.0026590000,-0.0234020000,-0.0089140000
2013-04-08,-0.0048350000,0.0072530000,0.0023540000,0.0016390000,0.0017960000,0.0104170000,0.0038370000,-0.0054300000,0.0140680000
2013-04-09,0.0060730000,0.0093730000,0.0048140000,0.0022420000,0.0050200000,0.0088500000,-0.0012120000,0.0003210000,-0.0000360000
2013-04-10,0.0000000000,-0.0047710000,-0.0032550000,-0.0005410000,0.0003750000,0.0009300000,0.0125500000,0.0077110000,0.0030180000
2013-04-11,-0.0044270000,-0.0030930000,-0.0041490000,0.0003520000,-0.0032900000,-0.0040560000,-0.0066680000,-0.0076520000,-0.0128270000
2013-04-12,-0.0032340000,-0.0083330000,-0.0083450000,0.0005590000,0.0003760000,0.0038650000,0.0003920000,0.0138100000,-0.0027840000
2013-04-15,-0.0101380000,-0.0135250000,-0.0109330000,0.0009380000,0.0010020000,-0.0290370000,-0.0257290000,-0.0076060000,-0.0477100000
2013-04-16,0.0061450000,0.0098240000,0.0042220000,0.0014950000,0.0016080000,-0.0074560000,-0.0089190000,0.0016020000,-0.0163870000
