method,date,iteration,objective,gradient_norm,rc_max_error,step
newton,2025-12-31,0.0,0.12839185459396776,0.10810048298632358,0.09938673757390941,1.0
newton,2025-12-31,1.0,-0.17085460603257224,0.05192920401629941,0.09514808133015523,1.0
newton,2025-12-31,2.0,-0.28351198447891063,0.02366076206469943,0.08294838595351467,1.0
newton,2025-12-31,3.0,-0.33075401985533043,0.0097312457190558,0.05940048080403469,1.0
newton,2025-12-31,4.0,-0.35132536620116384,0.0031504263572525015,0.02858237545480803,1.0
newton,2025-12-31,5.0,-0.3555800657692656,0.0005376630543461169,0.00590259065092634,1.0
newton,2025-12-31,6.0,-0.3557425010666362,1.991805781305367e-05,0.00022749426860080302,1.0
newton,2025-12-31,7.0,-0.3557427352428796,2.8792244864336847e-08,3.293000569309923e-07,1.0
newton,2025-12-31,8.0,-0.35574273524336963,6.02625588319583e-14,6.892819648385284e-13,0.0
lbfgsb,2025-12-31,1.0,0.06943419057092258,0.09701007799376606,0.09895873737889212,
lbfgsb,2025-12-31,2.0,-0.18270214730052786,0.0497237246658788,0.09486872549281594,
lbfgsb,2025-12-31,3.0,-0.25463195270364397,0.03250003841286636,0.08949566756157663,
lbfgsb,2025-12-31,4.0,-0.2992672110916295,0.019340500030764027,0.07866983610348362,
lbfgsb,2025-12-31,5.0,-0.32370769887524276,0.01715576652282924,0.06435091765019246,
lbfgsb,2025-12-31,6.0,-0.34139983824996567,0.018300372329739426,0.037200817316565354,
lbfgsb,2025-12-31,7.0,-0.3482248727164855,0.007757824195803325,0.029680370327316574,
lbfgsb,2025-12-31,8.0,-0.3528241079499782,0.006733095652711733,0.021971419902203443,
lbfgsb,2025-12-31,9.0,-0.3546399374731515,0.009500033863594215,0.013512283470762027,
lbfgsb,2025-12-31,10.0,-0.35556954650374417,0.0039134064494335125,0.004789389970447422,
lbfgsb,2025-12-31,11.0,-0.3557345662262902,0.000573440261472144,0.0006072298314889757,
lbfgsb,2025-12-31,12.0,-0.3557418735195159,0.00016351900491083649,0.0002484502013956058,
lbfgsb,2025-12-31,13.0,-0.3557426976565473,3.175438012095744e-05,5.438560678264204e-05,
lbfgsb,2025-12-31,14.0,-0.3557427335599057,8.642685361839875e-06,1.5029914988667903e-05,
lbfgsb,2025-12-31,15.0,-0.3557427350769479,2.9179491068398455e-06,3.819184405548515e-06,
lbfgsb,2025-12-31,16.0,-0.3557427352261916,6.970688629925892e-07,1.5177698126783712e-06,
lbfgsb,2025-12-31,17.0,-0.35574273524206923,1.85563245769238e-07,4.675434324696859e-07,
lbfgsb,2025-12-31,18.0,-0.3557427352432867,3.2960614543275923e-08,7.69070996470278e-08,
lbfgsb,2025-12-31,19.0,-0.35574273524335864,1.8402488539959183e-08,4.5485980371129386e-08,
lbfgsb,2025-12-31,20.0,-0.35574273524336947,2.6062952490635283e-09,3.443054355511954e-09,
lbfgsb,2025-12-31,21.0,-0.3557427352433696,5.24117110822786e-10,9.515217502809037e-10,
slsqp,2025-12-31,1.0,9.343539979003685e-08,0.016212105726464487,0.09436157708768406,
slsqp,2025-12-31,2.0,6.215097523164015e-08,0.009541543623361383,0.09057919786105544,
slsqp,2025-12-31,3.0,4.6313461744863136e-08,0.007883058382582853,0.08538934297780562,
slsqp,2025-12-31,4.0,3.9794842310962765e-08,0.006311499476190874,0.08093975313288745,
slsqp,2025-12-31,5.0,3.397818231380444e-08,0.00569934194600582,0.07526188119634192,
slsqp,2025-12-31,6.0,2.8300153765874725e-08,0.006438394002532606,0.06847912824774974,
slsqp,2025-12-31,7.0,2.2116617320333526e-08,0.006132473593482555,0.05961651938812242,
slsqp,2025-12-31,8.0,1.605504487989438e-08,0.004961752056499066,0.048468075750335696,
slsqp,2025-12-31,9.0,1.034842920751278e-08,0.0034131578370145007,0.038126716380549736,
slsqp,2025-12-31,10.0,5.570220054629878e-09,0.0026082394275986145,0.02952434151849047,
slsqp,2025-12-31,11.0,2.379716094607204e-09,0.00184426972986655,0.022929797852511744,
slsqp,2025-12-31,12.0,8.967830768410926e-10,0.001176633990819305,0.018024770468837284,
slsqp,2025-12-31,13.0,4.4201598746567914e-10,0.0008100712120833214,0.012173781082863003,
slsqp,2025-12-31,14.0,2.3965791808972757e-10,0.0005641497563629842,0.007601893013596719,
slsqp,2025-12-31,15.0,1.1227343930589136e-10,0.00045745250283129696,0.005232404873955224,
slsqp,2025-12-31,16.0,5.5105036523218874e-11,0.00027959302710242655,0.003154974605749955,
slsqp,2025-12-31,17.0,2.2907484091387935e-11,0.00022675128062520303,0.001981185651193068,
slsqp,2025-12-31,18.0,8.844095259502209e-12,0.00017619681718339172,0.0014530667961115545,
