decay,回测区间,组合/资产,区间净值,年化收益,年化波动,夏普比率,最大回撤,月度胜率,平均资金占用
0.50,全局 (Total),风险平价策略,4.2336,13.10%,8.40%,1.16,-9.47%,65.75%,15.38%
0.50,全局 (Total),全天候策略,3.4553,11.16%,8.04%,0.99,-9.97%,67.81%,17.25%
0.50,全局 (Total),全天候增强策略 (动量择时),4.6348,13.98%,9.91%,1.07,-13.05%,67.81%,17.61%
0.50,训练期 (2013-2020),风险平价策略,2.3862,13.88%,8.34%,1.17,-9.47%,67.47%,16.64%
0.50,训练期 (2013-2020),全天候策略,1.8575,9.70%,8.05%,0.74,-9.97%,63.86%,18.03%
0.50,训练期 (2013-2020),全天候增强策略 (动量择时),2.3538,13.65%,9.58%,1.01,-12.08%,65.06%,18.85%
0.50,验证期 (2021-2026),风险平价策略,1.7742,12.07%,8.48%,1.13,-8.81%,63.49%,13.70%
0.50,验证期 (2021-2026),全天候策略,1.8602,13.13%,8.03%,1.31,-8.00%,73.02%,16.21%
0.50,验证期 (2021-2026),全天候增强策略 (动量择时),1.9691,14.41%,10.33%,1.15,-13.05%,71.43%,15.96%
0.53,全局 (Total),风险平价策略,4.1384,12.88%,8.18%,1.16,-9.34%,66.44%,15.27%
0.53,全局 (Total),全天候策略,3.4258,11.08%,7.98%,0.98,-9.83%,67.81%,17.21%
0.53,全局 (Total),全天候增强策略 (动量择时),4.6353,13.98%,9.89%,1.07,-13.05%,68.49%,17.57%
0.53,训练期 (2013-2020),风险平价策略,2.3494,13.62%,8.17%,1.17,-9.34%,68.67%,16.59%
0.53,训练期 (2013-2020),全天候策略,1.8435,9.57%,7.99%,0.73,-9.83%,63.86%,17.98%
0.53,训练期 (2013-2020),全天候增强策略 (动量择时),2.3530,13.64%,9.57%,1.01,-12.07%,66.27%,18.80%
0.53,验证期 (2021-2026),风险平价策略,1.7615,11.91%,8.19%,1.15,-8.57%,63.49%,13.53%
0.53,验证期 (2021-2026),全天候策略,1.8584,13.11%,7.97%,1.32,-7.80%,73.02%,16.18%
0.53,验证期 (2021-2026),全天候增强策略 (动量择时),1.9700,14.42%,10.31%,1.15,-13.05%,71.43%,15.93%
0.56,全局 (Total),风险平价策略,4.0453,12.66%,7.97%,1.17,-9.22%,66.44%,15.17%
0.56,全局 (Total),全天候策略,3.3977,11.00%,7.93%,0.98,-9.69%,68.49%,17.18%
0.56,全局 (Total),全天候增强策略 (动量择时),4.6363,13.98%,9.88%,1.07,-13.06%,68.49%,17.53%
0.56,训练期 (2013-2020),风险平价策略,2.3106,13.34%,8.01%,1.16,-9.22%,68.67%,16.53%
0.56,训练期 (2013-2020),全天候策略,1.8296,9.45%,7.94%,0.72,-9.69%,65.06%,17.94%
0.56,训练期 (2013-2020),全天候增强策略 (动量择时),2.3516,13.63%,9.56%,1.01,-12.07%,66.27%,18.75%
0.56,验证期 (2021-2026),风险平价策略,1.7508,11.77%,7.92%,1.18,-8.31%,63.49%,13.36%
0.56,验证期 (2021-2026),全天候策略,1.8571,13.09%,7.92%,1.32,-7.63%,73.02%,16.16%
0.56,验证期 (2021-2026),全天候增强策略 (动量择时),1.9715,14.44%,10.29%,1.15,-13.06%,71.43%,15.90%
0.59,全局 (Total),风险平价策略,3.9555,12.45%,7.77%,1.17,-9.12%,68.49%,15.07%
0.59,全局 (Total),全天候策略,3.3708,10.92%,7.88%,0.98,-9.56%,67.81%,17.14%
0.59,全局 (Total),全天候增强策略 (动量择时),4.6375,13.98%,9.87%,1.08,-13.06%,68.49%,17.49%
0.59,训练期 (2013-2020),风险平价策略,2.2709,13.04%,7.85%,1.14,-9.12%,72.29%,16.46%
0.59,训练期 (2013-2020),全天候策略,1.8158,9.33%,7.89%,0.71,-9.56%,65.06%,17.91%
0.59,训练期 (2013-2020),全天候增强策略 (动量择时),2.3496,13.62%,9.55%,1.01,-12.07%,66.27%,18.70%
0.59,验证期 (2021-2026),风险平价策略,1.7418,11.66%,7.66%,1.20,-8.04%,63.49%,13.21%
0.59,验证期 (2021-2026),全天候策略,1.8564,13.08%,7.87%,1.33,-7.46%,71.43%,16.13%
0.59,验证期 (2021-2026),全天候增强策略 (动量择时),1.9737,14.47%,10.27%,1.16,-13.06%,71.43%,15.88%
0.62,全局 (Total),风险平价策略,3.8693,12.24%,7.58%,1.17,-9.02%,68.49%,14.97%
0.62,全局 (Total),全天候策略,3.3452,10.85%,7.84%,0.98,-9.43%,68.49%,17.11%
0.62,全局 (Total),全天候增强策略 (动量择时),4.6390,13.99%,9.85%,1.08,-13.06%,68.49%,17.45%
