date,策略名称,股指期货信号,股指基准仓位,股指目标波动,股指实现波动,股指波动缩放系数,股指期货仓位,沪深300主连,中证1000主连,红利低波ETF,10年国债主连,30年国债主连,沪铜主连,沪铝主连,PTA主连,原油主连,豆粕主连,沪金主连
2018-01-05,风险平价策略,1.0,0.2,0.1,0.15026748251209776,0.66547997163624,0.133095994327248,0.133095994327248,0.0,0.11888107592855707,0.28443684078742776,0.0,0.06773863852319012,0.06822285075619412,0.07785339708916188,0.0,0.09480863752056519,0.15496256506765582
2018-01-12,风险平价策略,1.0,0.2,0.1,0.15036227965195126,0.6650604142972123,0.13301208285944247,0.13301208285944247,0.0,0.12455354240116955,0.27537399265561907,0.0,0.06811322775577408,0.06738311537840985,0.07862841892882787,0.0,0.08905611017444547,0.16387950984631183
2018-01-19,风险平价策略,1.0,0.2,0.1,0.15166070329834505,0.6593665849173945,0.1318733169834789,0.1318733169834789,0.0,0.1351793064025816,0.26947531972780203,0.0,0.06355700755465929,0.05922718725116139,0.07840062657830028,0.0,0.10180918595515649,0.16047804954686004
2018-01-26,风险平价策略,1.0,0.2,0.1,0.15300819904190432,0.6535597479492784,0.13071194958985569,0.13071194958985569,0.0,0.1400286901893822,0.2859660724189641,0.0,0.05787165177838323,0.05790855719267182,0.08045824918195958,0.0,0.09612358682792184,0.15093124282086162
2018-02-02,风险平价策略,1.0,0.2,0.1,0.15871275545629407,0.6300690811680714,0.12601381623361427,0.12601381623361427,0.0,0.10666741039842967,0.32556649976404833,0.0,0.0620997390256109,0.05925261980346257,0.0799431051495397,0.0,0.10169145306464426,0.13876535656065028
2018-02-09,风险平价策略,1.0,0.2,0.1,0.21180160939911188,0.4721399439961919,0.09442798879923839,0.09442798879923839,0.0,0.05616929110358038,0.35533689695714427,0.0,0.06288358975682426,0.07061998003442381,0.09619289492041572,0.0,0.1284585033616558,0.13591085506671738
2018-02-14,风险平价策略,1.0,0.2,0.1,0.21502004513232595,0.4650729188455839,0.09301458376911678,0.09301458376911678,0.0,0.056896523486905416,0.35315018703862544,0.0,0.06400493185432694,0.0668620761598109,0.0977339531907095,0.0,0.13031056622002435,0.13802717828048053
2018-02-23,风险平价策略,1.0,0.2,0.1,0.20905556601593853,0.47834172467034886,0.09566834493406978,0.09566834493406978,0.0,0.05856069034425517,0.3448396313933224,0.0,0.06578325357756659,0.06893621909964857,0.10058361735652718,0.0,0.1339537554501864,0.13167448784442382
2018-03-02,风险平价策略,1.0,0.2,0.1,0.21024512773737872,0.47563527904871095,0.09512705580974219,0.09512705580974219,0.0,0.05713302072992424,0.3558159018585435,0.0,0.06102205422201041,0.0709153115276381,0.10196517533861578,0.0,0.1381335181244457,0.11988796238908007
2018-03-09,风险平价策略,1.0,0.2,0.1,0.21610443188474565,0.46273923735785627,0.09254784747157126,0.09254784747157126,0.0,0.06326142997936599,0.39276960959879975,0.0,0.05540872831207367,0.06365670567349896,0.07853061207078497,0.0,0.13316879605271234,0.12065627084119299
2018-03-16,风险平价策略,1.0,0.2,0.1,0.21094645422739286,0.4740539506400213,0.09481079012800427,0.09481079012800427,0.0,0.06525983649988794,0.38110750880532307,0.0,0.05974232112015723,0.06399652935421773,0.08325901211131914,0.0,0.12299227788637437,0.12883172409471622
2018-03-23,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.059250745198024465,0.46066530950596596,0.0,0.0524010087456657,0.06606071496890632,0.08662870739830222,0.0,0.12496873282751521,0.15002478135562008
2018-03-30,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.054459275901249396,0.4611252068006814,0.0,0.05244420246246989,0.07070845319057391,0.0806403142726533,0.04745088817559248,0.11090661358389908,0.12226504561288058
2018-04-04,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.05522175841365707,0.4495575725883685,0.0,0.05470565141196249,0.07293838608546092,0.08123640050024492,0.042988717859580285,0.11540498558910524,0.1279465275516206
2018-04-13,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.05859799919021981,0.435248836563692,0.0,0.059105936553858235,0.08022617157455075,0.0886733228678836,0.04773194813089395,0.09596480382293651,0.13445098129596506
2018-04-20,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.05409789772416332,0.4493682373979296,0.0,0.06067221055837747,0.06413059342417107,0.09128315425604673,0.04922174172510063,0.09656810693170126,0.13465805798250982
2018-04-27,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.059720847596254,0.4107652103090874,0.0,0.070461609762668,0.05761359538416282,0.10440394521062846,0.05347271314037645,0.0996430925057365,0.14391898609108625
2018-05-04,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.060576007734323326,0.408665415666147,0.0,0.06971183117273728,0.05802325934603397,0.10545847554967298,0.05408454890306426,0.099916553683079,0.1435639079449422
2018-05-11,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.06841086646995005,0.36208683805817493,0.0,0.07599847041462189,0.06464513441837806,0.12125622267051532,0.06037455618601432,0.08282525563998741,0.16440265614235802
2018-05-18,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.0701569194990796,0.3765570132687135,0.0,0.07813332513126796,0.06877878237478278,0.12814975346236582,0.06304179603159196,0.0731020478701574,0.14208036236204097
2018-05-25,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.06951394900102416,0.38310440086513076,0.0,0.07962891787540678,0.0673921231192312,0.12036810500750363,0.061212773680154244,0.07359484689354703,0.1451848835580022
2018-06-01,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.0716888029770498,0.3709772545872447,0.0,0.08192755441169593,0.07618619235166983,0.1033113439532024,0.05736909079409429,0.07848119905120969,0.16005856187383344
2018-06-08,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.0682763232393167,0.38318026577649855,0.0,0.08532479581483857,0.07490835967384563,0.10282624078448542,0.059785123299152275,0.0598899483205139,0.165808943091349
2018-06-15,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.06880346061617336,0.3821631372913241,0.0,0.08447788553880312,0.06676099563292771,0.10066210030036572,0.05773767272628059,0.06412069274269393,0.17527405515143146
2018-06-22,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.051219556731093636,0.4456068273209033,0.0,0.05901585358438652,0.06631902971111871,0.07954653035242838,0.06222931381054354,0.07957087298515825,0.15649201550436764
2018-06-29,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.04880706656277744,0.4355263695999651,0.0,0.06047979938435413,0.06677052984178221,0.08179496221297236,0.0646168090903223,0.0820540609631061,0.15995040234472035
2018-07-06,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.04571963908336024,0.41916862759158,0.0,0.05220174724496511,0.06804319084722997,0.0901128680432348,0.06495121942978421,0.07848179671929298,0.18132091104055273
2018-07-13,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.04650879492993355,0.43617638423259936,0.0,0.04676598434358614,0.06685142998338658,0.09235957678902752,0.05840350521469724,0.07482330289696837,0.1781110216098012
2018-07-20,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.051438946108639146,0.3864239939594309,0.0,0.05228420436010208,0.07664406599881414,0.10311802312549188,0.06146833235468295,0.08764581965489407,0.18097661443794477
2018-07-27,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.05185038405551182,0.3776382687852673,0.0,0.05350847474257528,0.07814406597010633,0.10554652417876637,0.06277773290973347,0.08843013648042719,0.1821044128776124
2018-08-03,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.04251533453199545,0.3882385631997753,0.0,0.054465554414243306,0.07576157537445563,0.11580992432855015,0.059727599760922,0.08008872522709412,0.18339272316296418
2018-08-10,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.04590550178354681,0.358023625221784,0.0,0.06247463113311202,0.08208163747913108,0.09959028367824882,0.05502322878266946,0.09205047332307144,0.20485061859843645
2018-08-17,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.05440729443658756,0.3342390235698513,0.0,0.06263166146942731,0.09621048749311417,0.13525154744584617,0.05849797672543058,0.0896023827123482,0.1691596261473947
2018-08-24,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.05695752140453618,0.3467516247279335,0.0,0.06298457466202617,0.09936451921169917,0.11762887707135569,0.06061197336040036,0.07758811086351171,0.17811279869853713
2018-08-31,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.05763639471939927,0.3569479733320208,0.0,0.06470113676283887,0.09578696030397961,0.11682463119891677,0.06086967605499687,0.0717781711597603,0.17545505646808754
2018-09-07,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.05990061262502769,0.3575295258226258,0.0,0.06612688637576596,0.09310187505120646,0.09976337798036494,0.06554783290370791,0.07880951972822844,0.1792203695130728
2018-09-14,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.06473334700146194,0.35259768029804234,0.0,0.07160113084992535,0.09766533711144557,0.07559846116280854,0.06735333311209313,0.0763666373875502,0.19408407307667294
2018-09-21,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.06671834906356447,0.34369053815086503,0.0,0.07152521281056731,0.09790578673746281,0.07502673518794283,0.06943160910488924,0.08076168120924976,0.19494008773545865
2018-09-28,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.06692863294682871,0.36367484108501946,0.0,0.073716016858473,0.09030437051026924,0.07472381525827577,0.07373990862235257,0.084931797129693,0.1719806175890882
2018-10-12,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.03901601815623255,0.4093327039469445,0.0,0.0682723878997998,0.07993721304579855,0.06814313532509901,0.05099775913072823,0.08450307435547089,0.1997977081399266
2018-10-19,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.036745928034180954,0.4205084967586688,0.0,0.06938813708357933,0.07513086693139157,0.05372018513453979,0.045222524526261375,0.08628141279435457,0.21300244873702365
2018-10-26,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.03725655917098325,0.422159236313984,0.0,0.06698730604281929,0.07942763530101332,0.05049150074735014,0.04389839072257194,0.07831434988149347,0.22146502181978459
2018-11-02,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.046658738227872504,0.4084597179404579,0.0,0.0769220473708881,0.08950873785673248,0.05465933047713582,0.041616477595996466,0.05204646256270918,0.23012848796820767
2018-11-09,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.04608168620342153,0.41973731424839394,0.0,0.07743799840413082,0.09219906276065354,0.0495988084567292,0.03968521642565248,0.05269065617504492,0.22256925732597355
2018-11-16,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.048297589484841905,0.4495539186771383,0.0,0.07794556947208611,0.0891016873464587,0.04587257501524904,0.033871657868362395,0.050775510325211326,0.2045814918106522
2018-11-23,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.044137752398318436,0.4445298867482429,0.0,0.08089782527243887,0.0910833724923474,0.036882558449345834,0.02971847287361285,0.05178348060257428,0.22096665116311942
2018-11-30,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.04723582800137571,0.43666359300817004,0.0,0.08456846276915878,0.09265178885078634,0.037739223936562365,0.027697648836436446,0.05061761183256653,0.22282584276494394
2018-12-07,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.04598373268718686,0.44704251784296556,0.0,0.07677555642220839,0.08697325871185567,0.038513672601033604,0.02710906305529856,0.05019633430608341,0.22740586437336788
2018-12-14,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.0501285360526391,0.398017060618735,0.0,0.08346774573035785,0.10122278697044683,0.0423718088464462,0.031209525339461166,0.05473981897366214,0.23884271746825173
2018-12-21,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.051824620156445594,0.38789717325656703,0.0,0.07651229654462034,0.10442865195625868,0.0418521275609947,0.026867793329296938,0.05746281749048345,0.2531545197053332
2018-12-28,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.05466473740939668,0.40029929364786515,0.0,0.07822699206933889,0.10029842138424754,0.03659691926103888,0.022923843908243185,0.05806027916574503,0.24892951315412462
