组合/资产,年化收益,年化波动,夏普比率,最大回撤,月度胜率,平均资金占用
沪深300主连,7.77%,25.21%,0.31,-60.00%,57.53%,
10年国债主连,3.59%,3.73%,0.17,-9.73%,65.75%,
沪金主连,21.66%,17.25%,1.05,-29.00%,54.11%,
豆粕主连,12.18%,20.39%,0.52,-37.29%,54.79%,
中证1000主连,10.97%,27.79%,0.41,-69.94%,55.48%,
30年国债主连,7.49%,5.41%,0.81,-16.75%,60.96%,
红利低波ETF,12.65%,19.92%,0.55,-43.62%,59.59%,
有色ETF,6.10%,17.23%,0.26,-34.11%,53.42%,
能源化工ETF,5.00%,20.85%,0.20,-48.36%,49.32%,
风险平价策略,11.64%,4.81%,1.70,-7.63%,75.34%,22.30%
全天候策略,14.42%,6.68%,1.61,-7.89%,71.23%,27.59%
全天候增强策略 (动量择时),18.04%,8.60%,1.63,-11.39%,73.97%,32.01%
