回测区间,组合/资产,年化收益,年化波动,夏普比率,最大回撤,月度胜率,平均资金占用
全局 (Total),沪深300主连,11.09%,23.96%,0.56,-46.60%,57.53%,
全局 (Total),中证1000主连,3.70%,14.23%,0.33,-39.86%,17.12%,
全局 (Total),红利低波ETF,12.65%,19.92%,0.70,-43.62%,59.59%,
全局 (Total),10年国债主连,2.16%,3.42%,0.64,-7.46%,58.90%,
全局 (Total),30年国债主连,1.49%,3.23%,0.47,-8.79%,14.38%,
全局 (Total),沪铜主连,6.45%,17.75%,0.44,-35.30%,54.79%,
全局 (Total),沪铝主连,6.13%,16.87%,0.44,-37.66%,47.95%,
全局 (Total),PTA主连,-0.18%,24.00%,0.11,-59.07%,50.00%,
全局 (Total),原油主连,3.36%,30.04%,0.26,-74.56%,36.30%,
全局 (Total),豆粕主连,7.30%,18.65%,0.47,-32.60%,54.11%,
全局 (Total),沪金主连,10.72%,15.30%,0.74,-24.73%,53.42%,
全局 (Total),风险平价策略,9.55%,6.15%,1.51,-10.17%,67.81%,14.08%
全局 (Total),全天候策略,10.43%,7.47%,1.36,-11.28%,66.44%,16.92%
全局 (Total),全天候增强策略 (动量择时),13.65%,9.85%,1.35,-13.16%,67.12%,16.97%
2014年,沪深300主连,68.53%,21.80%,2.50,-10.70%,63.64%,
2014年,中证1000主连,0.00%,0.00%,0.00,0.00%,0.00%,
2014年,红利低波ETF,63.46%,17.80%,2.85,-7.58%,81.82%,
2014年,10年国债主连,0.00%,0.00%,0.00,0.00%,0.00%,
2014年,30年国债主连,0.00%,0.00%,0.00,0.00%,0.00%,
2014年,沪铜主连,-4.74%,14.42%,-0.26,-13.14%,54.55%,
2014年,沪铝主连,-8.19%,10.59%,-0.75,-13.65%,36.36%,
2014年,PTA主连,-23.96%,19.49%,-1.31,-30.80%,27.27%,
2014年,原油主连,0.00%,0.00%,0.00,0.00%,0.00%,
2014年,豆粕主连,-0.59%,16.75%,0.05,-22.01%,45.45%,
2014年,沪金主连,-3.82%,14.31%,-0.20,-18.02%,45.45%,
2014年,风险平价策略,19.00%,10.04%,1.78,-5.21%,63.64%,22.80%
2014年,全天候策略,9.50%,9.61%,0.99,-7.79%,63.64%,21.96%
2014年,全天候增强策略 (动量择时),25.80%,11.93%,1.98,-6.64%,63.64%,29.20%
2015年,沪深300主连,14.29%,48.80%,0.52,-46.60%,66.67%,
2015年,中证1000主连,0.00%,0.00%,0.00,0.00%,0.00%,
2015年,红利低波ETF,13.31%,39.69%,0.52,-41.59%,58.33%,
2015年,10年国债主连,2.98%,4.74%,0.64,-3.83%,58.33%,
