资产,年化收益,年化波动,夏普比率,最大回撤,月度胜率
沪深300ETF,8.07%,22.46%,0.36,-45.45%,57.14%
中证1000ETF,6.68%,27.34%,0.24,-69.94%,53.06%
红利低波ETF,12.56%,19.92%,0.63,-43.62%,59.18%
10年国债ETF,4.35%,2.90%,1.5,-8.04%,68.03%
30年国债ETF,7.46%,5.39%,1.38,-16.75%,61.90%
有色ETF,6.11%,17.23%,0.35,-34.11%,53.74%
能源化工ETF,5.09%,21.01%,0.24,-48.36%,49.66%
豆粕ETF,8.04%,19.06%,0.42,-32.25%,53.06%
黄金ETF,12.40%,14.89%,0.83,-24.91%,55.10%
策略组合,7.87%,4.35%,1.81,-5.58%,70.27%
中国版全天候策略,9.24%,6.09%,1.52,-6.60%,68.24%
增强全天候(动量择时),12.69%,8.12%,1.56,-9.97%,70.75%
