回测区间,组合/资产,年化收益,年化波动,夏普比率,最大回撤,月度胜率,平均资金占用
全局 (Total),沪金主连,21.66%,17.25%,1.05,-29.00%,54.11%,
全局 (Total),红利低波ETF,12.65%,19.92%,0.55,-43.62%,59.59%,
全局 (Total),沪铝主连,9.28%,18.46%,0.41,-43.93%,51.37%,
全局 (Total),豆粕主连,12.18%,20.39%,0.52,-37.29%,54.79%,
全局 (Total),10年国债主连,3.59%,3.73%,0.17,-9.73%,65.75%,
全局 (Total),原油主连,3.50%,38.55%,0.20,-82.13%,52.05%,
全局 (Total),沪铜主连,10.48%,20.07%,0.45,-43.08%,56.85%,
全局 (Total),沪深300主连,7.77%,25.21%,0.31,-60.00%,57.53%,
全局 (Total),PTA主连,-8.28%,26.20%,-0.31,-84.11%,43.84%,
全局 (Total),中证1000主连,10.97%,27.79%,0.41,-69.94%,55.48%,
全局 (Total),30年国债主连,7.49%,5.41%,0.81,-16.75%,60.96%,
全局 (Total),风险平价策略,11.87%,5.09%,1.65,-9.41%,71.23%,11.24%
全局 (Total),全天候策略,14.31%,6.83%,1.56,-9.46%,71.92%,14.50%
全局 (Total),全天候增强策略 (动量择时),18.25%,9.45%,1.51,-14.46%,71.92%,14.20%
2014年,沪金主连,-2.40%,16.08%,-0.40,-21.90%,45.45%,
2014年,红利低波ETF,63.46%,17.80%,2.56,-7.58%,81.82%,
2014年,沪铝主连,-10.06%,11.60%,-1.32,-18.68%,27.27%,
2014年,豆粕主连,16.97%,17.23%,0.69,-16.09%,54.55%,
2014年,10年国债主连,12.08%,3.82%,1.61,-2.16%,72.73%,
2014年,原油主连,-52.05%,21.24%,-3.60,-52.28%,36.36%,
2014年,沪铜主连,2.41%,16.26%,-0.10,-17.28%,54.55%,
2014年,沪深300主连,92.48%,23.51%,2.68,-10.95%,90.91%,
2014年,PTA主连,-19.71%,21.56%,-1.16,-34.48%,45.45%,
2014年,中证1000主连,31.83%,21.28%,1.16,-13.59%,72.73%,
2014年,30年国债主连,23.51%,6.37%,2.51,-3.28%,72.73%,
2014年,风险平价策略,20.75%,4.71%,2.93,-2.79%,90.91%,10.91%
