回测区间,组合/资产,年化收益,年化波动,夏普比率,最大回撤,月度胜率,平均资金占用
全局 (Total),沪深300主连,3.87%,20.62%,0.29,-41.62%,52.53%,
全局 (Total),中证1000主连,5.53%,17.32%,0.40,-39.86%,25.25%,
全局 (Total),红利低波ETF,8.80%,17.38%,0.57,-30.15%,55.56%,
全局 (Total),10年国债主连,3.15%,3.04%,1.03,-4.99%,64.65%,
全局 (Total),30年国债主连,2.22%,3.93%,0.58,-8.79%,21.21%,
全局 (Total),沪铜主连,7.65%,17.26%,0.51,-34.35%,54.55%,
全局 (Total),沪铝主连,8.01%,17.35%,0.53,-30.63%,50.51%,
全局 (Total),PTA主连,2.96%,25.58%,0.24,-59.07%,51.52%,
全局 (Total),原油主连,5.02%,36.56%,0.32,-74.56%,53.54%,
全局 (Total),豆粕主连,10.00%,18.54%,0.61,-28.17%,54.55%,
全局 (Total),沪金主连,15.62%,16.08%,0.98,-24.73%,56.57%,
全局 (Total),风险平价策略,9.54%,5.31%,1.74,-6.90%,69.70%,12.28%
2018年,沪深300主连,-27.32%,24.04%,-1.21,-30.21%,41.67%,
2018年,中证1000主连,0.00%,0.00%,0.00,0.00%,0.00%,
2018年,红利低波ETF,-23.07%,19.63%,-1.24,-30.15%,41.67%,
2018年,10年国债主连,6.06%,3.66%,1.63,-2.52%,75.00%,
2018年,30年国债主连,0.00%,0.00%,0.00,0.00%,0.00%,
2018年,沪铜主连,-14.10%,14.48%,-0.98,-15.51%,33.33%,
2018年,沪铝主连,-15.40%,13.32%,-1.19,-14.66%,33.33%,
2018年,PTA主连,9.16%,20.01%,0.54,-26.68%,58.33%,
2018年,原油主连,-15.12%,24.91%,-0.53,-42.86%,50.00%,
2018年,豆粕主连,7.25%,18.84%,0.47,-14.85%,58.33%,
2018年,沪金主连,-0.19%,6.71%,0.00,-7.89%,33.33%,
2018年,风险平价策略,4.11%,4.50%,0.92,-3.76%,66.67%,12.35%
2019年,沪深300主连,39.88%,20.44%,1.74,-13.52%,75.00%,
2019年,中证1000主连,0.00%,0.00%,0.00,0.00%,0.00%,
2019年,红利低波ETF,24.48%,15.27%,1.51,-12.09%,75.00%,
2019年,10年国债主连,2.12%,3.08%,0.70,-2.23%,66.67%,
2019年,30年国债主连,0.00%,0.00%,0.00,0.00%,0.00%,
2019年,沪铜主连,1.36%,9.37%,0.19,-8.57%,50.00%,
2019年,沪铝主连,4.64%,8.20%,0.59,-4.75%,58.33%,
2019年,PTA主连,-6.97%,23.32%,-0.19,-25.85%,41.67%,
2019年,原油主连,28.06%,26.95%,1.05,-22.30%,66.67%,
2019年,豆粕主连,5.57%,14.70%,0.44,-8.30%,41.67%,
2019年,沪金主连,18.34%,13.35%,1.33,-9.51%,41.67%,
2019年,风险平价策略,11.37%,3.91%,2.77,-2.28%,83.33%,12.78%
2020年,沪深300主连,33.67%,25.25%,1.28,-17.16%,58.33%,
2020年,中证1000主连,0.00%,0.00%,0.00,0.00%,0.00%,
2020年,红利低波ETF,9.94%,21.25%,0.55,-15.80%,50.00%,
2020年,10年国债主连,2.01%,4.32%,0.48,-4.86%,50.00%,
2020年,30年国债主连,0.00%,0.00%,0.00,0.00%,0.00%,
2020年,沪铜主连,17.15%,20.81%,0.87,-25.15%,50.00%,
2020年,沪铝主连,21.13%,18.45%,1.13,-21.05%,58.33%,
2020年,PTA主连,-32.43%,24.23%,-1.50,-41.61%,41.67%,
2020年,原油主连,-59.89%,44.76%,-1.81,-69.25%,41.67%,
2020年,豆粕主连,28.39%,17.75%,1.50,-9.04%,75.00%,
2020年,沪金主连,12.83%,18.62%,0.74,-17.77%,58.33%,
2020年,风险平价策略,9.83%,6.59%,1.46,-6.90%,66.67%,12.77%
2021年,沪深300主连,-1.43%,18.46%,0.01,-15.14%,58.33%,
2021年,中证1000主连,0.00%,0.00%,0.00,0.00%,0.00%,
2021年,红利低波ETF,23.42%,17.50%,1.29,-14.60%,58.33%,
2021年,10年国债主连,4.39%,2.94%,1.47,-1.78%,58.33%,
2021年,30年国债主连,0.00%,0.00%,0.00,0.00%,0.00%,
2021年,沪铜主连,23.55%,20.70%,1.12,-14.91%,50.00%,
2021年,沪铝主连,33.92%,26.26%,1.24,-25.51%,50.00%,
2021年,PTA主连,29.57%,30.29%,1.01,-20.96%,66.67%,
2021年,原油主连,58.63%,37.06%,1.43,-18.47%,66.67%,
2021年,豆粕主连,-4.78%,20.02%,-0.15,-20.02%,33.33%,
2021年,沪金主连,-6.75%,12.70%,-0.49,-11.93%,41.67%,
2021年,风险平价策略,11.31%,6.08%,1.79,-3.26%,66.67%,13.81%
2022年,沪深300主连,-19.89%,21.25%,-0.94,-26.09%,33.33%,
2022年,中证1000主连,-6.32%,14.55%,-0.38,-16.45%,25.00%,
2022年,红利低波ETF,3.01%,19.45%,0.25,-13.65%,50.00%,
2022年,10年国债主连,1.55%,2.85%,0.55,-1.73%,58.33%,
2022年,30年国债主连,0.00%,0.00%,0.00,0.00%,0.00%,
2022年,沪铜主连,-0.66%,19.97%,0.07,-27.91%,66.67%,
2022年,沪铝主连,-6.49%,22.88%,-0.18,-28.26%,25.00%,
2022年,PTA主连,18.53%,37.28%,0.64,-31.32%,58.33%,
