日期,T-1原始信号,标准化信号,股指总仓位,沪深300主连权重,中证1000主连权重,闲置资金比例,逆回购日收益,换手率,交易成本,沪深300主连日收益,中证1000主连日收益,策略日收益,基准沪深300主连权重,基准中证1000主连权重,基准日收益,策略净值,基准净值,超额净值,当日超额收益
2018-01-03,1.0,1.0,1.0,1.0,0.0,0.0,0.00014817808219178084,1.0,0.0005,0.004288499025,0.0,0.0037884990249999998,1.0,0.0,0.004288499025,1.003788499025,1.004288499025,0.9995021350931673,-0.0005
2018-01-04,1.0,1.0,1.0,1.0,0.0,0.0,0.00011773972602739725,0.0,0.0,0.003445263975,0.0,0.003445263975,1.0,0.0,0.003445263975,1.00724681537921,1.0077485380111977,0.9995021350931673,0.0
2018-01-05,1.0,1.0,1.0,1.0,0.0,0.0,8.042465753424658e-05,0.0,0.0,0.002998210745,0.0,0.002998210745,1.0,0.0,0.002998210745,1.010266753603947,1.0107699805061208,0.9995021350931674,0.0
2018-01-08,1.0,1.0,1.0,1.0,0.0,0.0,0.00021623287671232878,0.0,0.0,0.003760667277,0.0,0.003760667277,1.0,0.0,0.003760667277,1.0140660307252665,1.014571150096384,0.9995021350931675,0.0
2018-01-09,1.0,1.0,1.0,1.0,0.0,0.0,6.897260273972603e-05,0.0,0.0,0.008069551852,0.0,0.008069551852,1.0,0.0,0.008069551852,1.0222490891415559,1.0227582845996301,0.9995021350931675,0.0
2018-01-10,1.0,1.0,1.0,1.0,0.0,0.0,6.864383561643835e-05,0.0,0.0,0.003525992281,0.0,0.003525992281,1.0,0.0,0.003525992281,1.0258535315391284,1.0263645224164573,0.9995021350931677,0.0
2018-01-11,1.0,1.0,1.0,1.0,0.0,0.0,6.897260273972603e-05,0.0,0.0,-0.000902141399,0.0,-0.000902141399,1.0,0.0,-0.000902141399,1.0249280665990166,1.0254385964903205,0.9995021350931677,0.0
2018-01-12,1.0,1.0,1.0,1.0,0.0,0.0,7.228767123287672e-05,0.0,0.0,0.004894971961,0.0,0.004894971961,1.0,0.0,0.004894971961,1.0299450607470608,1.030458089667868,0.9995021350931678,0.0
2018-01-15,1.0,1.0,1.0,1.0,0.0,0.0,0.0002412191780821918,0.0,0.0,-0.001324190116,0.0,-0.001324190116,1.0,0.0,-0.001324190116,1.0285812176775966,1.0290935672505774,0.9995021350931678,0.0
2018-01-16,1.0,1.0,1.0,1.0,0.0,0.0,8.91917808219178e-05,0.0,0.0,0.01084434342,0.0,0.01084434342,1.0,0.0,0.01084434342,1.0397355056374542,1.0402534113051556,0.9995021350931678,0.0
2018-01-17,1.0,1.0,1.0,1.0,0.0,0.0,9.34109589041096e-05,0.0,0.0,-0.004356788157,0.0,-0.004356788157,1.0,0.0,-0.004356788157,1.0352055983000805,1.0357212475625024,0.9995021350931678,0.0
