回测区间,夏普比率,实验分组,平均资金占用,年化收益,年化波动,方案名称,最大回撤,月度胜率,期末净值
2018年,0.83,固定仓位比例测试,12.98%,4.05%,4.95%,固定仓位_20%,-4.78%,66.67%,1.0383
2019年,2.42,固定仓位比例测试,14.02%,14.33%,5.60%,固定仓位_20%,-3.51%,66.67%,1.1385
2020年,1.61,固定仓位比例测试,13.59%,12.57%,7.51%,固定仓位_20%,-7.22%,66.67%,1.1210
2021年,1.60,固定仓位比例测试,14.11%,10.81%,6.57%,固定仓位_20%,-3.47%,66.67%,1.1041
2022年,1.10,固定仓位比例测试,11.89%,6.84%,6.20%,固定仓位_20%,-4.98%,58.33%,1.0656
2023年,2.90,固定仓位比例测试,12.17%,10.90%,3.59%,固定仓位_20%,-2.05%,58.33%,1.1044
2024年,2.11,固定仓位比例测试,11.29%,12.57%,5.68%,固定仓位_20%,-2.77%,75.00%,1.1204
2025年,2.30,固定仓位比例测试,13.25%,12.47%,5.18%,固定仓位_20%,-2.86%,75.00%,1.1200
2026年,2.58,固定仓位比例测试,13.42%,21.54%,7.68%,固定仓位_20%,-2.75%,100.00%,1.0443
2018年,0.72,固定仓位比例测试,12.97%,3.70%,5.22%,固定仓位_25%,-5.35%,66.67%,1.0350
2019年,2.30,固定仓位比例测试,14.07%,15.60%,6.39%,固定仓位_25%,-4.08%,66.67%,1.1506
2020年,1.65,固定仓位比例测试,13.59%,13.86%,8.05%,固定仓位_25%,-7.33%,66.67%,1.1333
2021年,1.43,固定仓位比例测试,14.13%,10.23%,7.00%,固定仓位_25%,-3.80%,58.33%,1.0985
2022年,1.05,固定仓位比例测试,11.90%,6.51%,6.22%,固定仓位_25%,-4.98%,58.33%,1.0624
2023年,2.82,固定仓位比例测试,12.19%,11.00%,3.72%,固定仓位_25%,-2.05%,58.33%,1.1054
2024年,2.02,固定仓位比例测试,11.30%,12.98%,6.14%,固定仓位_25%,-3.33%,75.00%,1.1243
2025年,2.40,固定仓位比例测试,13.31%,13.83%,5.47%,固定仓位_25%,-2.86%,83.33%,1.1331
2026年,2.33,固定仓位比例测试,13.51%,20.65%,8.19%,固定仓位_25%,-2.87%,100.00%,1.0426
2018年,0.62,固定仓位比例测试,12.95%,3.34%,5.53%,固定仓位_30%,-5.94%,66.67%,1.0317
2019年,2.20,固定仓位比例测试,14.12%,16.86%,7.21%,固定仓位_30%,-4.66%,75.00%,1.1628
2020年,1.68,固定仓位比例测试,13.60%,15.15%,8.63%,固定仓位_30%,-7.47%,66.67%,1.1457
2021年,1.26,固定仓位比例测试,14.16%,9.64%,7.50%,固定仓位_30%,-4.14%,58.33%,1.0928
2022年,0.99,固定仓位比例测试,11.90%,6.17%,6.24%,固定仓位_30%,-4.98%,58.33%,1.0592
2023年,2.73,固定仓位比例测试,12.21%,11.10%,3.88%,固定仓位_30%,-2.05%,58.33%,1.1064
2024年,1.92,固定仓位比例测试,11.31%,13.39%,6.65%,固定仓位_30%,-3.89%,75.00%,1.1283
2025年,2.47,固定仓位比例测试,13.36%,15.21%,5.81%,固定仓位_30%,-2.86%,83.33%,1.1463
2026年,2.10,固定仓位比例测试,13.59%,19.76%,8.75%,固定仓位_30%,-2.99%,66.67%,1.0409
2018年,0.83,波动率调整测试,12.98%,4.05%,4.95%,波动率调整_20%_目标25%,-4.78%,66.67%,1.0383
2019年,2.51,波动率调整测试,14.01%,14.58%,5.49%,波动率调整_20%_目标25%,-3.33%,66.67%,1.1409
2020年,1.62,波动率调整测试,13.59%,12.52%,7.47%,波动率调整_20%_目标25%,-7.22%,66.67%,1.1204
2021年,1.60,波动率调整测试,14.11%,10.81%,6.57%,波动率调整_20%_目标25%,-3.47%,66.67%,1.1041
2022年,1.10,波动率调整测试,11.89%,6.84%,6.20%,波动率调整_20%_目标25%,-4.98%,58.33%,1.0656
2023年,2.90,波动率调整测试,12.17%,10.90%,3.59%,波动率调整_20%_目标25%,-2.05%,58.33%,1.1044
2024年,2.19,波动率调整测试,11.27%,12.27%,5.36%,波动率调整_20%_目标25%,-2.69%,75.00%,1.1175
2025年,2.30,波动率调整测试,13.25%,12.48%,5.18%,波动率调整_20%_目标25%,-2.86%,75.00%,1.1200
2026年,2.58,波动率调整测试,13.42%,21.54%,7.68%,波动率调整_20%_目标25%,-2.75%,100.00%,1.0443
2018年,0.83,信号限速测试,12.98%,4.05%,4.95%,固定仓位限速_20%_周变20pct,-4.78%,66.67%,1.0383
2019年,2.42,信号限速测试,14.02%,14.33%,5.60%,固定仓位限速_20%_周变20pct,-3.51%,66.67%,1.1385
2020年,1.61,信号限速测试,13.59%,12.57%,7.51%,固定仓位限速_20%_周变20pct,-7.22%,66.67%,1.1210
2021年,1.60,信号限速测试,14.11%,10.81%,6.57%,固定仓位限速_20%_周变20pct,-3.47%,66.67%,1.1041
2022年,1.10,信号限速测试,11.89%,6.84%,6.20%,固定仓位限速_20%_周变20pct,-4.98%,58.33%,1.0656
2023年,2.90,信号限速测试,12.17%,10.90%,3.59%,固定仓位限速_20%_周变20pct,-2.05%,58.33%,1.1044
2024年,2.11,信号限速测试,11.29%,12.57%,5.68%,固定仓位限速_20%_周变20pct,-2.77%,75.00%,1.1204
2025年,2.30,信号限速测试,13.25%,12.47%,5.18%,固定仓位限速_20%_周变20pct,-2.86%,75.00%,1.1200
2026年,2.58,信号限速测试,13.42%,21.54%,7.68%,固定仓位限速_20%_周变20pct,-2.75%,100.00%,1.0443
