2020回撤窗口收益,2020回撤窗口最大回撤,信号切换次数,单周股指变化上限,回测区间,基础股指仓位,夏普比率,实验分组,平均周换手,平均资金占用,年化收益,年化波动,方案名称,最大单周换手,最大回撤,月度胜率,期末净值,目标波动,股指平均仓位,股指最大仓位,股指模式,风险预算
-6.89%,-7.07%,23,,全局 (Total),20.00%,1.80,固定仓位比例测试,6.57%,12.93%,10.83%,5.82%,固定仓位_20%,58.23%,-7.22%,67.68%,2.2564,,9.95%,20.00%,fixed,
-6.89%,-7.07%,23,,训练期 (2018-2020),20.00%,1.63,固定仓位比例测试,6.57%,13.54%,10.27%,6.12%,固定仓位_20%,58.23%,-7.22%,66.67%,1.3252,,9.95%,20.00%,fixed,
-6.89%,-7.07%,23,,验证期 (2021-2026),20.00%,1.90,固定仓位比例测试,6.57%,12.58%,11.16%,5.64%,固定仓位_20%,58.23%,-4.98%,68.25%,1.7027,,9.95%,20.00%,fixed,
-6.89%,-7.07%,23,,2018年,20.00%,0.83,固定仓位比例测试,6.57%,12.98%,4.05%,4.95%,固定仓位_20%,58.23%,-4.78%,66.67%,1.0383,,9.95%,20.00%,fixed,
-6.89%,-7.07%,23,,2019年,20.00%,2.42,固定仓位比例测试,6.57%,14.02%,14.33%,5.60%,固定仓位_20%,58.23%,-3.51%,66.67%,1.1385,,9.95%,20.00%,fixed,
-6.89%,-7.07%,23,,2020年,20.00%,1.61,固定仓位比例测试,6.57%,13.59%,12.57%,7.51%,固定仓位_20%,58.23%,-7.22%,66.67%,1.1210,,9.95%,20.00%,fixed,
-6.89%,-7.07%,23,,2021年,20.00%,1.60,固定仓位比例测试,6.57%,14.11%,10.81%,6.57%,固定仓位_20%,58.23%,-3.47%,66.67%,1.1041,,9.95%,20.00%,fixed,
-6.89%,-7.07%,23,,2022年,20.00%,1.10,固定仓位比例测试,6.57%,11.89%,6.84%,6.20%,固定仓位_20%,58.23%,-4.98%,58.33%,1.0656,,9.95%,20.00%,fixed,
-6.89%,-7.07%,23,,2023年,20.00%,2.90,固定仓位比例测试,6.57%,12.17%,10.90%,3.59%,固定仓位_20%,58.23%,-2.05%,58.33%,1.1044,,9.95%,20.00%,fixed,
-6.89%,-7.07%,23,,2024年,20.00%,2.11,固定仓位比例测试,6.57%,11.29%,12.57%,5.68%,固定仓位_20%,58.23%,-2.77%,75.00%,1.1204,,9.95%,20.00%,fixed,
