低信号倍率,正信号满值倍率,参数组合,回测区间,期末净值,年化收益,年化波动,夏普比率,最大回撤,月度胜率,平均资金占用,股指平均仓位,v0.16股指平均仓位,股指仓位差异,股指目标风险预算均值,股指实际风险贡献均值,周度记录数
0.25,1.50,低信号0.25_满值1.50,全局 (Total),2.0628,9.58%,5.20%,1.79,-6.89%,70.71%,12.39%,5.87%,14.93%,-9.06%,11.86%,11.86%,421
0.25,1.50,低信号0.25_满值1.50,训练期 (2018-2020),1.2560,8.23%,5.02%,1.60,-6.89%,72.22%,12.80%,5.21%,18.70%,-13.49%,11.12%,11.12%,154
0.25,1.50,低信号0.25_满值1.50,验证期 (2021-2026),1.6423,10.36%,5.30%,1.89,-4.86%,69.84%,12.16%,6.25%,12.75%,-6.50%,12.29%,12.29%,267
0.25,1.50,低信号0.25_满值1.50,2018年,1.0428,4.52%,4.44%,1.02,-3.52%,66.67%,12.52%,2.61%,6.47%,-3.86%,6.19%,6.19%,51
0.25,1.50,低信号0.25_满值1.50,2019年,1.1056,10.93%,3.78%,2.77,-2.14%,83.33%,12.96%,6.67%,28.24%,-21.57%,15.04%,15.04%,51
0.25,1.50,低信号0.25_满值1.50,2020年,1.0894,9.29%,6.45%,1.41,-6.89%,66.67%,12.92%,6.32%,21.35%,-15.03%,12.11%,12.11%,52
0.25,1.50,低信号0.25_满值1.50,2021年,1.1120,11.64%,6.00%,1.87,-3.30%,66.67%,13.84%,7.71%,24.81%,-17.09%,13.58%,13.58%,52
0.25,1.50,低信号0.25_满值1.50,2022年,1.0619,6.45%,6.17%,1.04,-4.86%,66.67%,11.74%,3.32%,2.40%,0.92%,6.00%,6.00%,50
0.25,1.50,低信号0.25_满值1.50,2023年,1.0970,10.12%,3.43%,2.83,-2.02%,58.33%,11.73%,6.93%,9.60%,-2.67%,12.26%,12.26%,50
0.25,1.50,低信号0.25_满值1.50,2024年,1.1118,11.67%,5.25%,2.13,-2.93%,75.00%,11.11%,3.19%,2.35%,0.84%,6.81%,6.81%,51
0.25,1.50,低信号0.25_满值1.50,2025年,1.0913,9.48%,4.87%,1.89,-3.15%,75.00%,12.25%,8.98%,20.72%,-11.74%,19.74%,19.74%,53
0.25,1.50,低信号0.25_满值1.50,2026年,1.0449,21.86%,6.75%,2.97,-2.48%,100.00%,12.63%,10.54%,27.00%,-16.46%,24.35%,24.35%,11
0.25,2.00,低信号0.25_满值2.00,全局 (Total),2.0761,9.67%,5.30%,1.77,-6.93%,69.70%,12.32%,6.99%,14.93%,-7.94%,14.25%,14.25%,421
0.25,2.00,低信号0.25_满值2.00,训练期 (2018-2020),1.2635,8.46%,5.12%,1.61,-6.93%,72.22%,12.68%,6.40%,18.70%,-12.30%,13.77%,13.77%,154
0.25,2.00,低信号0.25_满值2.00,验证期 (2021-2026),1.6432,10.37%,5.40%,1.85,-4.86%,68.25%,12.12%,7.32%,12.75%,-5.43%,14.52%,14.52%,267
0.25,2.00,低信号0.25_满值2.00,2018年,1.0413,4.36%,4.49%,0.97,-3.76%,66.67%,12.45%,3.02%,6.47%,-3.45%,7.18%,7.18%,51
0.25,2.00,低信号0.25_满值2.00,2019年,1.1094,11.32%,3.91%,2.76,-2.28%,83.33%,12.79%,8.33%,28.24%,-19.90%,19.00%,19.00%,51
0.25,2.00,低信号0.25_满值2.00,2020年,1.0937,9.73%,6.57%,1.45,-6.93%,66.67%,12.80%,7.83%,21.35%,-13.51%,15.10%,15.10%,52
0.25,2.00,低信号0.25_满值2.00,2021年,1.1089,11.32%,6.08%,1.80,-3.28%,66.67%,13.81%,9.47%,24.81%,-15.34%,17.06%,17.06%,52
0.25,2.00,低信号0.25_满值2.00,2022年,1.0597,6.22%,6.18%,1.01,-4.86%,58.33%,11.74%,3.60%,2.40%,1.20%,6.48%,6.48%,50
0.25,2.00,低信号0.25_满值2.00,2023年,1.0975,10.18%,3.50%,2.79,-2.02%,58.33%,11.70%,7.96%,9.60%,-1.64%,14.19%,14.19%,50
0.25,2.00,低信号0.25_满值2.00,2024年,1.1133,11.82%,5.52%,2.05,-2.93%,75.00%,11.10%,3.40%,2.35%,1.05%,7.26%,7.26%,51
0.25,2.00,低信号0.25_满值2.00,2025年,1.0964,10.02%,4.95%,1.96,-3.17%,75.00%,12.14%,10.75%,20.72%,-9.97%,23.78%,23.78%,53
0.25,2.00,低信号0.25_满值2.00,2026年,1.0437,21.24%,6.87%,2.84,-2.53%,100.00%,12.55%,12.82%,27.00%,-14.18%,29.64%,29.64%,11
0.25,2.50,低信号0.25_满值2.50,全局 (Total),2.0884,9.75%,5.40%,1.75,-6.96%,69.70%,12.27%,7.98%,14.93%,-6.95%,16.36%,16.36%,421
0.25,2.50,低信号0.25_满值2.50,训练期 (2018-2020),1.2703,8.66%,5.22%,1.62,-6.96%,72.22%,12.58%,7.48%,18.70%,-11.22%,16.17%,16.17%,154
0.25,2.50,低信号0.25_满值2.50,验证期 (2021-2026),1.6440,10.38%,5.50%,1.82,-4.86%,68.25%,12.09%,8.27%,12.75%,-4.49%,16.48%,16.48%,267
0.25,2.50,低信号0.25_满值2.50,2018年,1.0400,4.22%,4.54%,0.93,-3.97%,66.67%,12.39%,3.38%,6.47%,-3.09%,8.06%,8.06%,51
0.25,2.50,低信号0.25_满值2.50,2019年,1.1129,11.68%,4.04%,2.75,-2.40%,83.33%,12.66%,9.83%,28.24%,-18.40%,22.59%,22.59%,51
0.25,2.50,低信号0.25_满值2.50,2020年,1.0976,10.14%,6.69%,1.48,-6.96%,66.67%,12.69%,9.20%,21.35%,-12.15%,17.82%,17.82%,52
0.25,2.50,低信号0.25_满值2.50,2021年,1.1062,11.04%,6.17%,1.73,-3.26%,66.67%,13.79%,11.06%,24.81%,-13.75%,20.21%,20.21%,52
0.25,2.50,低信号0.25_满值2.50,2022年,1.0578,6.03%,6.19%,0.98,-4.86%,58.33%,11.73%,3.84%,2.40%,1.44%,6.89%,6.89%,50
0.25,2.50,低信号0.25_满值2.50,2023年,1.0980,10.23%,3.56%,2.75,-2.02%,58.33%,11.68%,8.85%,9.60%,-0.75%,15.83%,15.83%,50
0.25,2.50,低信号0.25_满值2.50,2024年,1.1146,11.96%,5.76%,1.99,-3.02%,75.00%,11.10%,3.58%,2.35%,1.23%,7.65%,7.65%,51
0.25,2.50,低信号0.25_满值2.50,2025年,1.1010,10.49%,5.03%,2.01,-3.18%,75.00%,12.05%,12.30%,20.72%,-8.42%,27.27%,27.27%,53
0.25,2.50,低信号0.25_满值2.50,2026年,1.0427,20.68%,7.00%,2.72,-2.57%,100.00%,12.49%,14.85%,27.00%,-12.15%,34.21%,34.21%,11
0.25,3.00,低信号0.25_满值3.00,全局 (Total),2.0996,9.83%,5.50%,1.73,-6.99%,68.69%,12.23%,8.88%,14.93%,-6.05%,18.25%,18.25%,421
0.25,3.00,低信号0.25_满值3.00,训练期 (2018-2020),1.2766,8.85%,5.32%,1.62,-6.99%,69.44%,12.50%,8.47%,18.70%,-10.23%,18.34%,18.34%,154
0.25,3.00,低信号0.25_满值3.00,验证期 (2021-2026),1.6447,10.39%,5.60%,1.79,-4.86%,68.25%,12.07%,9.12%,12.75%,-3.64%,18.20%,18.20%,267
0.25,3.00,低信号0.25_满值3.00,2018年,1.0388,4.09%,4.60%,0.90,-4.17%,66.67%,12.34%,3.71%,6.47%,-2.76%,8.86%,8.86%,51
