日期,观察日,报告类型,是否新调仓,股指期货信号,股指期货仓位,资产,目标权重,保证金比例,资金占用
2026-05-29,2026-05-29,新调仓目标,True,0.5000000000,0.1500000000,沪深300主连,0.0750000000,0.1500000000,0.0112500000
2026-05-29,2026-05-29,新调仓目标,True,0.5000000000,0.1500000000,中证1000主连,0.0750000000,0.1500000000,0.0112500000
2026-05-29,2026-05-29,新调仓目标,True,0.5000000000,0.1500000000,红利低波ETF,0.0535861412,1.0000000000,0.0535861412
2026-05-29,2026-05-29,新调仓目标,True,0.5000000000,0.1500000000,10年国债主连,0.5054558610,0.0300000000,0.0151636758
2026-05-29,2026-05-29,新调仓目标,True,0.5000000000,0.1500000000,30年国债主连,0.1417246576,0.0300000000,0.0042517397
2026-05-29,2026-05-29,新调仓目标,True,0.5000000000,0.1500000000,沪铜主连,0.0302018039,0.1000000000,0.0030201804
2026-05-29,2026-05-29,新调仓目标,True,0.5000000000,0.1500000000,沪铝主连,0.0301530158,0.1000000000,0.0030153016
2026-05-29,2026-05-29,新调仓目标,True,0.5000000000,0.1500000000,PTA主连,0.0173118656,0.1000000000,0.0017311866
2026-05-29,2026-05-29,新调仓目标,True,0.5000000000,0.1500000000,原油主连,0.0097197158,0.1000000000,0.0009719716
2026-05-29,2026-05-29,新调仓目标,True,0.5000000000,0.1500000000,豆粕主连,0.0451496821,0.1000000000,0.0045149682
2026-05-29,2026-05-29,新调仓目标,True,0.5000000000,0.1500000000,沪金主连,0.0166972568,0.1000000000,0.0016697257
