日期,观察日,报告类型,是否新调仓,股指期货信号,股指期货仓位,资产,目标权重,保证金比例,资金占用
2026-05-28,2026-05-22,当前有效仓位,False,0.5000000000,0.1500000000,沪深300主连,0.0750000000,0.1500000000,0.0112500000
2026-05-28,2026-05-22,当前有效仓位,False,0.5000000000,0.1500000000,中证1000主连,0.0750000000,0.1500000000,0.0112500000
2026-05-28,2026-05-22,当前有效仓位,False,0.5000000000,0.1500000000,红利低波ETF,0.0563360474,1.0000000000,0.0563360474
2026-05-28,2026-05-22,当前有效仓位,False,0.5000000000,0.1500000000,10年国债主连,0.4998732507,0.0300000000,0.0149961975
2026-05-28,2026-05-22,当前有效仓位,False,0.5000000000,0.1500000000,30年国债主连,0.1406020348,0.0300000000,0.0042180610
2026-05-28,2026-05-22,当前有效仓位,False,0.5000000000,0.1500000000,沪铜主连,0.0305509956,0.1000000000,0.0030550996
2026-05-28,2026-05-22,当前有效仓位,False,0.5000000000,0.1500000000,沪铝主连,0.0308245220,0.1000000000,0.0030824522
2026-05-28,2026-05-22,当前有效仓位,False,0.5000000000,0.1500000000,PTA主连,0.0180389496,0.1000000000,0.0018038950
2026-05-28,2026-05-22,当前有效仓位,False,0.5000000000,0.1500000000,原油主连,0.0104003564,0.1000000000,0.0010400356
2026-05-28,2026-05-22,当前有效仓位,False,0.5000000000,0.1500000000,豆粕主连,0.0459736762,0.1000000000,0.0045973676
2026-05-28,2026-05-22,当前有效仓位,False,0.5000000000,0.1500000000,沪金主连,0.0174001672,0.1000000000,0.0017400167
