模型,累计收益,年化收益,年化波动,夏普,最大回撤,日胜率,Calmar
唐奇安20日,0.6388201218556346,0.0718934982445758,0.1292519667859783,0.556227499142203,-0.2434842968880695,0.520914668153932,0.29526954782478426
唐奇安55日,0.05158766194668862,0.007094693353858705,0.13194985741534493,0.053768101707957115,-0.2966368874869827,0.5131065253764641,0.02391709747888331
唐奇安90日,-0.15456312971842734,-0.02332176317526402,0.12175481361374968,-0.1915469498335326,-0.3442176901999068,0.5103179029559398,-0.06775294773990188
TSMOM1月,0.2690009850186996,0.03404924889411043,0.13213032410924436,0.25769443255099234,-0.23617028790465855,0.5086447295036252,0.14417244944823898
TSMOM3月,0.10490564992724405,0.014119672399993233,0.12494367404248213,0.11300830160630941,-0.2563530086624999,0.5036252091466815,0.05507901964428437
TSMOM6月,0.07826340488849692,0.010646712575500539,0.12365618065744821,0.08609931601392423,-0.291654966421543,0.5147796988287786,0.03650447892635002
TSMOM12月,0.12374984906543163,0.016532913811246885,0.11997975647004565,0.13779752766354816,-0.2311958036075057,0.524261015058561,0.07151044073150362
唐奇安20日·仅做多,0.8676273061243622,0.09176435064440391,0.10634757498332795,0.8628720556983999,-0.1246186468651076,0.5153374233128835,0.7363613147214916
TSMOM1月·仅做多,0.6472473981552345,0.07266648158159472,0.10725689965635485,0.6774993666087132,-0.15048920847780645,0.50920245398773,0.4828683884818976
基准·等权买入持有,1.0141929363120226,0.10341875667120326,0.1463265146309196,0.7067670335212802,-0.2491127563741875,0.5460122699386503,0.4151483776923086
