2020回撤窗口收益,2020回撤窗口最大回撤,信号切换次数,单周股指变化上限,回测区间,基础股指仓位,夏普比率,实验分组,平均周换手,平均资金占用,年化收益,年化波动,方案名称,最大单周换手,最大回撤,月度胜率,期末净值,目标波动,股指平均仓位,股指最大仓位,股指模式,风险预算
-6.23%,-6.28%,23,,全局 (Total),0.00%,1.84,固定仓位比例测试,6.06%,12.85%,9.40%,4.96%,固定仓位_0%,72.79%,-6.76%,70.71%,2.0365,,0.00%,0.00%,fixed,
-6.23%,-6.28%,23,,训练期 (2018-2020),0.00%,1.53,固定仓位比例测试,6.06%,13.49%,7.42%,4.75%,固定仓位_0%,72.79%,-6.76%,69.44%,1.2290,,0.00%,0.00%,fixed,
-6.23%,-6.28%,23,,验证期 (2021-2026),0.00%,2.00,固定仓位比例测试,6.06%,12.48%,10.56%,5.07%,固定仓位_0%,72.79%,-4.98%,71.43%,1.6570,,0.00%,0.00%,fixed,
-6.23%,-6.28%,23,,2018年,0.00%,1.25,固定仓位比例测试,6.06%,13.06%,5.41%,4.28%,固定仓位_0%,72.79%,-3.45%,66.67%,1.0512,,0.00%,0.00%,fixed,
-6.23%,-6.28%,23,,2019年,0.00%,2.60,固定仓位比例测试,6.06%,13.82%,9.34%,3.45%,固定仓位_0%,72.79%,-1.92%,75.00%,1.0903,,0.00%,0.00%,fixed,
-6.23%,-6.28%,23,,2020年,0.00%,1.21,固定仓位比例测试,6.06%,13.58%,7.51%,6.12%,固定仓位_0%,72.79%,-6.76%,66.67%,1.0723,,0.00%,0.00%,fixed,
-6.23%,-6.28%,23,,2021年,0.00%,2.11,固定仓位比例测试,6.06%,14.01%,13.08%,5.91%,固定仓位_0%,72.79%,-3.53%,66.67%,1.1259,,0.00%,0.00%,fixed,
-6.23%,-6.28%,23,,2022年,0.00%,1.31,固定仓位比例测试,6.06%,11.88%,8.18%,6.16%,固定仓位_0%,72.79%,-4.98%,66.67%,1.0784,,0.00%,0.00%,fixed,
-6.23%,-6.28%,23,,2023年,0.00%,2.99,固定仓位比例测试,6.06%,12.09%,10.47%,3.35%,固定仓位_0%,72.79%,-2.05%,75.00%,1.1003,,0.00%,0.00%,fixed,
-6.23%,-6.28%,23,,2024年,0.00%,2.41,固定仓位比例测试,6.06%,11.25%,10.90%,4.34%,固定仓位_0%,72.79%,-2.69%,75.00%,1.1044,,0.00%,0.00%,fixed,
-6.23%,-6.28%,23,,2025年,0.00%,1.49,固定仓位比例测试,6.06%,13.04%,7.12%,4.70%,固定仓位_0%,72.79%,-2.92%,66.67%,1.0686,,0.00%,0.00%,fixed,
-6.23%,-6.28%,23,,2026年,0.00%,3.45,固定仓位比例测试,6.06%,13.09%,25.07%,6.54%,固定仓位_0%,72.79%,-2.28%,100.00%,1.0510,,0.00%,0.00%,fixed,
-6.39%,-6.48%,23,,全局 (Total),5.00%,1.87,固定仓位比例测试,6.13%,12.87%,9.77%,5.05%,固定仓位_5%,69.15%,-6.87%,72.73%,2.0908,,2.49%,5.00%,fixed,
-6.39%,-6.48%,23,,训练期 (2018-2020),5.00%,1.61,固定仓位比例测试,6.13%,13.50%,8.14%,4.94%,固定仓位_5%,69.15%,-6.87%,69.44%,1.2528,,2.49%,5.00%,fixed,
-6.39%,-6.48%,23,,验证期 (2021-2026),5.00%,2.02,固定仓位比例测试,6.13%,12.51%,10.72%,5.12%,固定仓位_5%,69.15%,-4.98%,74.60%,1.6689,,2.49%,5.00%,fixed,
-6.39%,-6.48%,23,,2018年,5.00%,1.15,固定仓位比例测试,6.13%,13.04%,5.07%,4.37%,固定仓位_5%,69.15%,-3.45%,66.67%,1.0481,,2.49%,5.00%,fixed,
-6.39%,-6.48%,23,,2019年,5.00%,2.70,固定仓位比例测试,6.13%,13.87%,10.58%,3.75%,固定仓位_5%,69.15%,-2.09%,75.00%,1.1023,,2.49%,5.00%,fixed,
-6.39%,-6.48%,23,,2020年,5.00%,1.36,固定仓位比例测试,6.13%,13.58%,8.77%,6.33%,固定仓位_5%,69.15%,-6.87%,66.67%,1.0844,,2.49%,5.00%,fixed,
-6.39%,-6.48%,23,,2021年,5.00%,2.03,固定仓位比例测试,6.13%,14.04%,12.53%,5.89%,固定仓位_5%,69.15%,-3.39%,66.67%,1.1205,,2.49%,5.00%,fixed,
-6.39%,-6.48%,23,,2022年,5.00%,1.26,固定仓位比例测试,6.13%,11.88%,7.85%,6.17%,固定仓位_5%,69.15%,-4.98%,66.67%,1.0752,,2.49%,5.00%,fixed,
-6.39%,-6.48%,23,,2023年,5.00%,3.01,固定仓位比例测试,6.13%,12.11%,10.58%,3.36%,固定仓位_5%,69.15%,-2.05%,75.00%,1.1014,,2.49%,5.00%,fixed,
-6.39%,-6.48%,23,,2024年,5.00%,2.37,固定仓位比例测试,6.13%,11.26%,11.32%,4.57%,固定仓位_5%,69.15%,-2.69%,75.00%,1.1084,,2.49%,5.00%,fixed,
-6.39%,-6.48%,23,,2025年,5.00%,1.75,固定仓位比例测试,6.13%,13.09%,8.45%,4.70%,固定仓位_5%,69.15%,-2.87%,83.33%,1.0813,,2.49%,5.00%,fixed,
-6.39%,-6.48%,23,,2026年,5.00%,3.28,固定仓位比例测试,6.13%,13.17%,24.19%,6.67%,固定仓位_5%,69.15%,-2.40%,100.00%,1.0493,,2.49%,5.00%,fixed,
-6.56%,-6.67%,23,,全局 (Total),10.00%,1.87,固定仓位比例测试,6.26%,12.89%,10.13%,5.23%,固定仓位_10%,65.51%,-6.99%,71.72%,2.1454,,4.98%,10.00%,fixed,
-6.56%,-6.67%,23,,训练期 (2018-2020),10.00%,1.64,固定仓位比例测试,6.26%,13.51%,8.85%,5.24%,固定仓位_10%,65.51%,-6.99%,69.44%,1.2767,,4.98%,10.00%,fixed,
-6.56%,-6.67%,23,,验证期 (2021-2026),10.00%,2.00,固定仓位比例测试,6.26%,12.53%,10.87%,5.23%,固定仓位_10%,65.51%,-4.98%,73.02%,1.6805,,4.98%,10.00%,fixed,
-6.56%,-6.67%,23,,2018年,10.00%,1.05,固定仓位比例测试,6.26%,13.02%,4.74%,4.52%,固定仓位_10%,65.51%,-3.66%,66.67%,1.0449,,4.98%,10.00%,fixed,
-6.56%,-6.67%,23,,2019年,10.00%,2.65,固定仓位比例测试,6.26%,13.92%,11.83%,4.25%,固定仓位_10%,65.51%,-2.56%,75.00%,1.1143,,4.98%,10.00%,fixed,
-6.56%,-6.67%,23,,2020年,10.00%,1.47,固定仓位比例测试,6.26%,13.59%,10.03%,6.65%,固定仓位_10%,65.51%,-6.99%,66.67%,1.0965,,4.98%,10.00%,fixed,
-6.56%,-6.67%,23,,2021年,10.00%,1.91,固定仓位比例测试,6.26%,14.06%,11.96%,6.00%,固定仓位_10%,65.51%,-3.30%,66.67%,1.1151,,4.98%,10.00%,fixed,
-6.56%,-6.67%,23,,2022年,10.00%,1.20,固定仓位比例测试,6.26%,11.89%,7.51%,6.17%,固定仓位_10%,65.51%,-4.98%,66.67%,1.0720,,4.98%,10.00%,fixed,
-6.56%,-6.67%,23,,2023年,10.00%,3.00,固定仓位比例测试,6.26%,12.13%,10.69%,3.41%,固定仓位_10%,65.51%,-2.05%,75.00%,1.1024,,4.98%,10.00%,fixed,
-6.56%,-6.67%,23,,2024年,10.00%,2.30,固定仓位比例测试,6.26%,11.27%,11.73%,4.87%,固定仓位_10%,65.51%,-2.69%,75.00%,1.1124,,4.98%,10.00%,fixed,
-6.56%,-6.67%,23,,2025年,10.00%,1.97,固定仓位比例测试,6.26%,13.14%,9.78%,4.79%,固定仓位_10%,65.51%,-2.86%,75.00%,1.0941,,4.98%,10.00%,fixed,
-6.56%,-6.67%,23,,2026年,10.00%,3.07,固定仓位比例测试,6.26%,13.26%,23.31%,6.91%,固定仓位_10%,65.51%,-2.52%,100.00%,1.0477,,4.98%,10.00%,fixed,
-6.72%,-6.87%,23,,全局 (Total),15.00%,1.84,固定仓位比例测试,6.41%,12.91%,10.48%,5.49%,固定仓位_15%,61.87%,-7.10%,69.70%,2.2007,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,,训练期 (2018-2020),15.00%,1.65,固定仓位比例测试,6.41%,13.52%,9.56%,5.65%,固定仓位_15%,61.87%,-7.10%,69.44%,1.3008,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,,验证期 (2021-2026),15.00%,1.96,固定仓位比例测试,6.41%,12.56%,11.01%,5.41%,固定仓位_15%,61.87%,-4.98%,69.84%,1.6917,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,,2018年,15.00%,0.94,固定仓位比例测试,6.41%,13.00%,4.39%,4.71%,固定仓位_15%,61.87%,-4.22%,66.67%,1.0416,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,,2019年,15.00%,2.54,固定仓位比例测试,6.41%,13.97%,13.08%,4.88%,固定仓位_15%,61.87%,-3.04%,75.00%,1.1264,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,,2020年,15.00%,1.56,固定仓位比例测试,6.41%,13.59%,11.30%,7.04%,固定仓位_15%,61.87%,-7.10%,66.67%,1.1087,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,,2021年,15.00%,1.76,固定仓位比例测试,6.41%,14.08%,11.39%,6.23%,固定仓位_15%,61.87%,-3.29%,66.67%,1.1096,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,,2022年,15.00%,1.15,固定仓位比例测试,6.41%,11.89%,7.18%,6.18%,固定仓位_15%,61.87%,-4.98%,66.67%,1.0688,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,,2023年,15.00%,2.96,固定仓位比例测试,6.41%,12.15%,10.79%,3.49%,固定仓位_15%,61.87%,-2.05%,58.33%,1.1034,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,,2024年,15.00%,2.21,固定仓位比例测试,6.41%,11.28%,12.15%,5.25%,固定仓位_15%,61.87%,-2.69%,75.00%,1.1164,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,,2025年,15.00%,2.16,固定仓位比例测试,6.41%,13.20%,11.12%,4.95%,固定仓位_15%,61.87%,-2.86%,75.00%,1.1070,,7.46%,15.00%,fixed,
-6.72%,-6.87%,23,,2026年,15.00%,2.83,固定仓位比例测试,6.41%,13.34%,22.43%,7.25%,固定仓位_15%,61.87%,-2.63%,100.00%,1.0460,,7.46%,15.00%,fixed,
-6.89%,-7.07%,23,,全局 (Total),20.00%,1.80,固定仓位比例测试,6.57%,12.93%,10.83%,5.82%,固定仓位_20%,58.23%,-7.22%,67.68%,2.2564,,9.95%,20.00%,fixed,
-6.89%,-7.07%,23,,训练期 (2018-2020),20.00%,1.63,固定仓位比例测试,6.57%,13.54%,10.27%,6.12%,固定仓位_20%,58.23%,-7.22%,66.67%,1.3252,,9.95%,20.00%,fixed,
-6.89%,-7.07%,23,,验证期 (2021-2026),20.00%,1.90,固定仓位比例测试,6.57%,12.58%,11.16%,5.64%,固定仓位_20%,58.23%,-4.98%,68.25%,1.7027,,9.95%,20.00%,fixed,
-6.89%,-7.07%,23,,2018年,20.00%,0.83,固定仓位比例测试,6.57%,12.98%,4.05%,4.95%,固定仓位_20%,58.23%,-4.78%,66.67%,1.0383,,9.95%,20.00%,fixed,
-6.89%,-7.07%,23,,2019年,20.00%,2.42,固定仓位比例测试,6.57%,14.02%,14.33%,5.60%,固定仓位_20%,58.23%,-3.51%,66.67%,1.1385,,9.95%,20.00%,fixed,
-6.89%,-7.07%,23,,2020年,20.00%,1.61,固定仓位比例测试,6.57%,13.59%,12.57%,7.51%,固定仓位_20%,58.23%,-7.22%,66.67%,1.1210,,9.95%,20.00%,fixed,
