资产,周期划分,样本月数,样本用途,月均收益(%),月收益中位数(%),月收益标准差(%),年化收益(%),年化波动率(%),胜率(%),25%分位数(%),75%分位数(%),最小月收益(%),最大月收益(%)
10年国债主连,宽货币宽信用,48,主检验,0.22954434634415918,0.32346950114965356,0.8915564140089454,2.741718923741243,3.088442013754812,64.58333333333334,-0.3608586994795493,0.8753675940528838,-1.5527793230680875,1.9735077181315397
10年国债主连,宽货币紧信用,69,主检验,0.26036058326615374,0.33275314829690483,0.8949102049320082,3.120598290093124,3.1000598863082285,66.66666666666666,-0.17383059419715519,0.8207902384121057,-3.0983614926066716,2.4098274961595445
10年国债主连,紧货币宽信用,1,仅描述,-1.6999183752533065,-1.6999183752533065,,-18.595850828840987,,0.0,-1.6999183752533065,-1.6999183752533065,-1.6999183752533065,-1.6999183752533065
10年国债主连,紧货币紧信用,14,主检验,0.007396040557585058,0.29657140196550635,1.1245100738690326,0.017876810610695237,3.8954171631283914,64.28571428571429,-0.5973655207386269,0.679133135090032,-2.636831599944933,1.6548212579744037
30年国债主连,宽货币宽信用,48,主检验,0.498396133377432,0.8724758024112877,2.0602292110708222,5.883833305790298,7.136843337624417,56.25,-1.0843701230974778,2.055108489589552,-4.914883462465324,4.188370108767425
30年国债主连,宽货币紧信用,69,主检验,0.6651207977799389,0.8970438326123098,1.7857989591083585,8.077037660688724,6.186189058558585,69.56521739130434,-0.384579307656574,2.0648670977438943,-4.198883141891319,4.0329714902859415
30年国债主连,紧货币宽信用,1,仅描述,-1.8304116358807132,-1.8304116358807132,,-19.883191711134597,,0.0,-1.8304116358807132,-1.8304116358807132,-1.8304116358807132,-1.8304116358807132
30年国债主连,紧货币紧信用,14,主检验,-0.23007736522199235,-0.4638201130225228,1.276876178274407,-2.8144870709659653,4.423228831491296,35.714285714285715,-1.053906861259077,0.4676662898215611,-1.7745991727836419,2.242912857014945
PTA主连,宽货币宽信用,48,主检验,-0.8963944870064221,-0.07972356488064603,6.532668601453295,-12.595428427817767,22.629827853454056,47.91666666666667,-3.6225938431801024,2.3668149587508234,-24.51994586095151,17.234042552997497
PTA主连,宽货币紧信用,69,主检验,1.0532373837908444,0.5390835579921482,7.39501401389685,9.973519023764199,25.617079989506404,52.17391304347826,-3.835540838799656,5.654450261859045,-14.274631497342527,30.72693125810435
PTA主连,紧货币宽信用,1,仅描述,3.6656891494287303,3.6656891494287303,,54.03537481256493,,100.0,3.6656891494287303,3.6656891494287303,3.6656891494287303,3.6656891494287303
PTA主连,紧货币紧信用,14,主检验,-0.5247476878164721,0.29098105187748136,4.900155444487604,-7.418008066744363,16.97463638967557,57.14285714285714,-2.5095172532566155,2.512948121566938,-12.212643677951407,7.210548001682393
中证1000主连,宽货币宽信用,48,主检验,1.2437061984967357,0.7615024225413936,8.930994505665502,10.490099690128684,30.937872491862276,58.333333333333336,-2.7386143919613026,6.004858494042564,-30.417548332134015,22.22193395114047
中证1000主连,宽货币紧信用,69,主检验,1.202052329803542,0.33581678854055497,8.61738562801204,10.688690951570855,29.851499472261377,53.62318840579711,-4.130211134289718,5.12634684323956,-18.7152993218189,27.96238725427238
