月份,周期划分,资产,月收益(%)
2015-01,宽货币紧信用,10年国债主连,1.916028322249863
2015-01,宽货币紧信用,30年国债主连,2.3345891707705624
2015-01,宽货币紧信用,PTA主连,-5.484536082748804
2015-01,宽货币紧信用,中证1000主连,8.611854435531118
2015-01,宽货币紧信用,中证500主连,8.611783950924035
2015-01,宽货币紧信用,原油主连,-6.299769952040435
2015-01,宽货币紧信用,沪深300主连,-6.082403306980522
2015-01,宽货币紧信用,沪金主连,5.545210014479607
2015-01,宽货币紧信用,沪铜主连,-14.10609478387289
2015-01,宽货币紧信用,沪铝主连,-2.3704547884450866
2015-01,宽货币紧信用,红利低波ETF,-2.596032805136461
2015-01,宽货币紧信用,豆粕主连,-6.099686301895291
2015-02,宽货币紧信用,10年国债主连,1.0494418093279334
2015-02,宽货币紧信用,30年国债主连,2.376793560904167
2015-02,宽货币紧信用,PTA主连,6.980802792438268
2015-02,宽货币紧信用,中证1000主连,9.093177552138986
2015-02,宽货币紧信用,中证500主连,9.093136479908924
2015-02,宽货币紧信用,原油主连,25.10812528886237
2015-02,宽货币紧信用,沪深300主连,3.582395185439591
2015-02,宽货币紧信用,沪金主连,-3.293471868460529
2015-02,宽货币紧信用,沪铜主连,9.781441884100994
2015-02,宽货币紧信用,沪铝主连,0.936768149789402
2015-02,宽货币紧信用,红利低波ETF,1.5540729212471627
2015-02,宽货币紧信用,豆粕主连,8.35189309590083
2015-03,宽货币紧信用,10年国债主连,-2.292114752774721
2015-03,宽货币紧信用,30年国债主连,-4.198883141891319
2015-03,宽货币紧信用,PTA主连,-7.9526916801609175
2015-03,宽货币紧信用,中证1000主连,22.94688136994214
2015-03,宽货币紧信用,中证500主连,22.947027452261494
2015-03,宽货币紧信用,原油主连,-11.81177976965987
2015-03,宽货币紧信用,沪深300主连,11.775929383606943
2015-03,宽货币紧信用,沪金主连,-3.5678086355362515
2015-03,宽货币紧信用,沪铜主连,1.5897866823422424
2015-03,宽货币紧信用,沪铝主连,3.0074460603074282
2015-03,宽货币紧信用,红利低波ETF,13.210153301803729
2015-03,宽货币紧信用,豆粕主连,-3.842123646775175
2015-04,宽货币紧信用,10年国债主连,2.4098274961595445
2015-04,宽货币紧信用,30年国债主连,4.0329714902859415
2015-04,宽货币紧信用,PTA主连,13.86392811291084
2015-04,宽货币紧信用,中证1000主连,15.941255069551573
2015-04,宽货币紧信用,中证500主连,17.563041713666074
2015-04,宽货币紧信用,原油主连,17.939598087061782
2015-04,宽货币紧信用,沪深300主连,18.004248562188717
2015-04,宽货币紧信用,沪金主连,1.408450704370967
2015-04,宽货币紧信用,沪铜主连,2.403112736430346
2015-04,宽货币紧信用,沪铝主连,-0.3381031459867123
2015-04,宽货币紧信用,红利低波ETF,17.738161659124295
2015-04,宽货币紧信用,豆粕主连,0.6901561932711076
2015-05,宽货币紧信用,10年国债主连,-3.0983614926066716
2015-05,宽货币紧信用,30年国债主连,-3.9644220568972433
2015-05,宽货币紧信用,PTA主连,-5.373919579130604
2015-05,宽货币紧信用,中证1000主连,27.96238725427238
2015-05,宽货币紧信用,中证500主连,23.5930018933888
2015-05,宽货币紧信用,原油主连,-3.362127279724736
2015-05,宽货币紧信用,沪深300主连,3.1733771355907603
2015-05,宽货币紧信用,沪金主连,-1.2471489666652902
2015-05,宽货币紧信用,沪铜主连,0.4068716092443303
2015-05,宽货币紧信用,沪铝主连,-1.1996323981975254
2015-05,宽货币紧信用,红利低波ETF,7.560677166507679
2015-05,宽货币紧信用,豆粕主连,-7.90043290072282
2015-06,宽货币紧信用,10年国债主连,-0.17383059419715519
2015-06,宽货币紧信用,30年国债主连,0.5897257892450325
2015-06,宽货币紧信用,PTA主连,-2.6608419381158543
2015-06,宽货币紧信用,中证1000主连,-12.633308657551135
2015-06,宽货币紧信用,中证500主连,-16.85534685475497
2015-06,宽货币紧信用,原油主连,-4.292025110708209
2015-06,宽货币紧信用,沪深300主连,-10.637564600000038
2015-06,宽货币紧信用,沪金主连,-1.1420265780930916
2015-06,宽货币紧信用,沪铜主连,-4.586312574650508
2015-06,宽货币紧信用,沪铝主连,-4.649127552127763
2015-06,宽货币紧信用,红利低波ETF,-3.6099693743555705
2015-06,宽货币紧信用,豆粕主连,0.11750881312888595
2015-07,宽货币宽信用,10年国债主连,0.8337290907727057
2015-07,宽货币宽信用,30年国债主连,2.839991212381232
2015-07,宽货币宽信用,PTA主连,-6.772745818274595
2015-07,宽货币宽信用,中证1000主连,-18.959363778807294
2015-07,宽货币宽信用,中证500主连,-7.602672593016324
2015-07,宽货币宽信用,原油主连,-17.16142284530925
2015-07,宽货币宽信用,沪深300主连,-15.00205235244425
2015-07,宽货币宽信用,沪金主连,-8.359588322106859
2015-07,宽货币宽信用,沪铜主连,-8.333699283591978
2015-07,宽货币宽信用,沪铝主连,-3.241688045333657
2015-07,宽货币宽信用,红利低波ETF,-15.573806826538682
2015-07,宽货币宽信用,豆粕主连,3.803647096090401
2015-08,宽货币宽信用,10年国债主连,1.0649103488167944
2015-08,宽货币宽信用,30年国债主连,1.5721391430394416
2015-08,宽货币宽信用,PTA主连,-3.7490756321229113
2015-08,宽货币宽信用,中证1000主连,-13.803467609779297
2015-08,宽货币宽信用,中证500主连,-14.82569251761734
2015-08,宽货币宽信用,原油主连,2.449373191852633
2015-08,宽货币宽信用,沪深300主连,-14.052199071394378
2015-08,宽货币宽信用,沪金主连,7.976163190553676
2015-08,宽货币宽信用,沪铜主连,2.8804734764795725
2015-08,宽货币宽信用,沪铝主连,-3.0190220145730584
2015-08,宽货币宽信用,红利低波ETF,-10.730762628589495
2015-08,宽货币宽信用,豆粕主连,-0.963319747925262
2015-09,宽货币宽信用,10年国债主连,0.5735841256897745
2015-09,宽货币宽信用,30年国债主连,-0.049666396484981945
2015-09,宽货币宽信用,PTA主连,0.8467023171506272
2015-09,宽货币宽信用,中证1000主连,-2.8043615246433062
2015-09,宽货币宽信用,中证500主连,2.33693122720926
2015-09,宽货币宽信用,原油主连,-6.62716294286092
2015-09,宽货币宽信用,沪深300主连,5.424715060701257
2015-09,宽货币宽信用,沪金主连,-1.931649331396279
2015-09,宽货币宽信用,沪铜主连,-1.758332753963887
2015-09,宽货币宽信用,沪铝主连,-2.013422818627497
2015-09,宽货币宽信用,红利低波ETF,-4.680350136796008
2015-09,宽货币宽信用,豆粕主连,-0.11223344552870884
2015-10,宽货币宽信用,10年国债主连,1.5568000823679595
2015-10,宽货币宽信用,30年国债主连,1.2886997728676297
2015-10,宽货币宽信用,PTA主连,2.872293415978522
2015-10,宽货币宽信用,中证1000主连,18.903260459049378
2015-10,宽货币宽信用,中证500主连,18.02937206833932
2015-10,宽货币宽信用,原油主连,-4.347826087105522
2015-10,宽货币宽信用,沪深300主连,12.733395986190654
2015-10,宽货币宽信用,沪金主连,1.6666666666536711
2015-10,宽货币宽信用,沪铜主连,1.2509773259891777
2015-10,宽货币宽信用,沪铝主连,-11.51097839137516
2015-10,宽货币宽信用,红利低波ETF,8.939627976989527
2015-10,宽货币宽信用,豆粕主连,-4.382022471880742
2015-11,宽货币宽信用,10年国债主连,0.24348368823010613
2015-11,宽货币宽信用,30年国债主连,-0.39696645503094485
2015-11,宽货币宽信用,PTA主连,-0.6187857961431398
2015-11,宽货币宽信用,中证1000主连,8.847535941756824
2015-11,宽货币宽信用,中证500主连,8.618204247498795
2015-11,宽货币宽信用,原油主连,-10.10101010097344
2015-11,宽货币宽信用,沪深300主连,3.6986263133685027
2015-11,宽货币宽信用,沪金主连,-7.650302897789718
2015-11,宽货币宽信用,沪铜主连,-10.216138284225085
2015-11,宽货币宽信用,沪铝主连,-2.304658068437304
2015-11,宽货币宽信用,红利低波ETF,2.512515782336311
2015-11,宽货币宽信用,豆粕主连,-5.457811035897098
2015-12,宽货币宽信用,10年国债主连,1.0301469474663927
2015-12,宽货币宽信用,30年国债主连,2.545297895720511
2015-12,宽货币宽信用,PTA主连,-0.31277926740923556
2015-12,宽货币宽信用,中证1000主连,6.131174929833461
2015-12,宽货币宽信用,中证500主连,6.182090123722173
2015-12,宽货币宽信用,原油主连,-14.878408385768472
2015-12,宽货币宽信用,沪深300主连,6.849352796798502
2015-12,宽货币宽信用,沪金主连,3.1485284054637575
2015-12,宽货币宽信用,沪铜主连,5.529713246681167
2015-12,宽货币宽信用,沪铝主连,8.123318614385955
2015-12,宽货币宽信用,红利低波ETF,2.910614254241062
2015-12,宽货币宽信用,豆粕主连,1.6225448336365078
2016-01,宽货币宽信用,10年国债主连,0.32988454057871763
2016-01,宽货币宽信用,30年国债主连,1.3641493276816075
2016-01,宽货币宽信用,PTA主连,-2.1066786194934295
2016-01,宽货币宽信用,中证1000主连,-30.417548332134015
2016-01,宽货币宽信用,中证500主连,-22.62180679953847
2016-01,宽货币宽信用,原油主连,-7.632978723355643
2016-01,宽货币宽信用,沪深300主连,-17.869448141707057
2016-01,宽货币宽信用,沪金主连,5.419155054156999
2016-01,宽货币宽信用,沪铜主连,-2.4070021882610537
2016-01,宽货币宽信用,沪铝主连,-0.7393071142561158
2016-01,宽货币宽信用,红利低波ETF,-18.393978267704693
2016-01,宽货币宽信用,豆粕主连,1.6386554623405436
2016-02,宽货币宽信用,10年国债主连,-0.18984581800743916
2016-02,宽货币宽信用,30年国债主连,0.45684832589394375
2016-02,宽货币宽信用,PTA主连,0.4120879120418808
2016-02,宽货币宽信用,中证1000主连,-2.736196730250362
2016-02,宽货币宽信用,中证500主连,-1.3928990398571317
2016-02,宽货币宽信用,原油主连,8.26516875539074
2016-02,宽货币宽信用,沪深300主连,-2.095387187209985
2016-02,宽货币宽信用,沪金主连,8.854385228526574
2016-02,宽货币宽信用,沪铜主连,0.19405911620984373
2016-02,宽货币宽信用,沪铝主连,4.741980474029117
2016-02,宽货币宽信用,红利低波ETF,-1.3253892484741958
2016-02,宽货币宽信用,豆粕主连,-4.878048780358702
2016-03,宽货币宽信用,10年国债主连,0.34184596831459135
2016-03,宽货币宽信用,30年国债主连,4.188370108767425
2016-03,宽货币宽信用,PTA主连,7.7457215914712
2016-03,宽货币宽信用,中证1000主连,17.588501003363866
2016-03,宽货币宽信用,中证500主连,21.581620035290715
2016-03,宽货币宽信用,原油主连,9.520438919862496
2016-03,宽货币宽信用,沪深300主连,16.310291000326327
2016-03,宽货币宽信用,沪金主连,-1.2528912876466514
2016-03,宽货币宽信用,沪铜主连,2.676667785052711
2016-03,宽货币宽信用,沪铝主连,4.203539822981628
2016-03,宽货币宽信用,红利低波ETF,9.92725441848572
2016-03,宽货币宽信用,豆粕主连,2.359028682901565
2016-04,宽货币宽信用,10年国债主连,-0.2855711421492768
2016-04,宽货币宽信用,30年国债主连,-0.28766292718857
2016-04,宽货币宽信用,PTA主连,3.2550473832863025
2016-04,宽货币宽信用,中证1000主连,-1.84067047948423
2016-04,宽货币宽信用,中证500主连,-0.37939893589326035
2016-04,宽货币宽信用,原油主连,25.4454653086998
2016-04,宽货币宽信用,沪深300主连,-0.9872636446223937
2016-04,宽货币宽信用,沪金主连,4.021081397677451
2016-04,宽货币宽信用,沪铜主连,2.1432806812762717
2016-04,宽货币宽信用,沪铝主连,7.95812875077706
2016-04,宽货币宽信用,红利低波ETF,-0.7535737644094431
2016-04,宽货币宽信用,豆粕主连,12.269412269263569
2016-05,宽货币宽信用,10年国债主连,1.0911584362567783
2016-05,宽货币宽信用,30年国债主连,-1.3278367610435438
2016-05,宽货币宽信用,PTA主连,-8.220271348729858
2016-05,宽货币宽信用,中证1000主连,-1.1354379844583429
2016-05,宽货币宽信用,中证500主连,4.5448208835551895
2016-05,宽货币宽信用,原油主连,8.635713251669962
2016-05,宽货币宽信用,沪深300主连,2.3092629881195093
2016-05,宽货币宽信用,沪金主连,-3.622718768521238
2016-05,宽货币宽信用,沪铜主连,-4.886287257510902
2016-05,宽货币宽信用,沪铝主连,-3.3123028392241682
2016-05,宽货币宽信用,红利低波ETF,0.907991118450413
2016-05,宽货币宽信用,豆粕主连,11.96025983937301
2016-06,宽货币宽信用,10年国债主连,1.2557365474894722
2016-06,宽货币宽信用,30年国债主连,0.8730972944931636
2016-06,宽货币宽信用,PTA主连,5.3043478259431565
2016-06,宽货币宽信用,中证1000主连,6.630688173644184
2016-06,宽货币宽信用,中证500主连,4.836845710893067
2016-06,宽货币宽信用,原油主连,4.1855562691403225
2016-06,宽货币宽信用,沪深300主连,0.41821467770750687
2016-06,宽货币宽信用,沪金主连,9.28750724095222
2016-06,宽货币宽信用,沪铜主连,4.950800812094203
2016-06,宽货币宽信用,沪铝主连,3.548711632325263
2016-06,宽货币宽信用,红利低波ETF,-1.3700960267618356
2016-06,宽货币宽信用,豆粕主连,15.836177474420587
2016-07,宽货币宽信用,10年国债主连,0.6723777269810327
2016-07,宽货币宽信用,30年国债主连,2.1689955702823616
2016-07,宽货币宽信用,PTA主连,-7.101568951252268
