资产,周期划分,年化收益(%),月均收益(%),胜率(%),该资产最佳周期,该资产最佳周期年化收益(%),与最佳周期差距(百分点),三周期年化收益中位数(%),明显较差判定阈值(百分点),是否剔除,剔除原因
10年国债主连,宽货币紧信用,3.120598290093124,0.26036058326615374,66.66666666666666,宽货币紧信用,3.120598290093124,0.0,2.741718923741243,10.0,False,保留
10年国债主连,宽货币宽信用,2.741718923741243,0.22954434634415918,64.58333333333334,宽货币紧信用,3.120598290093124,0.3788793663518808,2.741718923741243,10.0,False,保留
10年国债主连,紧货币紧信用,0.017876810610695237,0.007396040557585058,64.28571428571429,宽货币紧信用,3.120598290093124,3.1027214794824287,2.741718923741243,10.0,False,保留
30年国债主连,宽货币紧信用,8.077037660688724,0.6651207977799389,69.56521739130434,宽货币紧信用,8.077037660688724,0.0,5.883833305790298,10.0,False,保留
30年国债主连,宽货币宽信用,5.883833305790298,0.498396133377432,56.25,宽货币紧信用,8.077037660688724,2.193204354898426,5.883833305790298,10.0,False,保留
30年国债主连,紧货币紧信用,-2.8144870709659653,-0.23007736522199235,35.714285714285715,宽货币紧信用,8.077037660688724,10.89152473165469,5.883833305790298,10.0,True,较最佳周期低 10.9 个百分点，且不高于三周期中位数
PTA主连,宽货币紧信用,9.973519023764199,1.0532373837908444,52.17391304347826,宽货币紧信用,9.973519023764199,0.0,-7.418008066744363,10.0,False,保留
PTA主连,宽货币宽信用,-12.595428427817767,-0.8963944870064221,47.91666666666667,宽货币紧信用,9.973519023764199,22.568947451581966,-7.418008066744363,10.0,True,较最佳周期低 22.6 个百分点，且不高于三周期中位数
PTA主连,紧货币紧信用,-7.418008066744363,-0.5247476878164721,57.14285714285714,宽货币紧信用,9.973519023764199,17.39152709050856,-7.418008066744363,10.0,True,较最佳周期低 17.4 个百分点，且不高于三周期中位数
中证1000主连,宽货币紧信用,10.688690951570855,1.202052329803542,53.62318840579711,宽货币紧信用,10.688690951570855,0.0,10.490099690128684,10.0,False,保留
中证1000主连,宽货币宽信用,10.490099690128684,1.2437061984967357,58.333333333333336,宽货币紧信用,10.688690951570855,0.19859126144217143,10.490099690128684,10.0,False,保留
中证1000主连,紧货币紧信用,-11.136628253561454,-0.9151234323719813,35.714285714285715,宽货币紧信用,10.688690951570855,21.82531920513231,10.490099690128684,10.0,True,较最佳周期低 21.8 个百分点，且不高于三周期中位数
中证500主连,宽货币紧信用,12.461744897557935,1.2847354843351848,55.072463768115945,宽货币宽信用,25.928600045364234,13.4668551478063,12.461744897557935,10.0,True,较最佳周期低 13.5 个百分点，且不高于三周期中位数
中证500主连,宽货币宽信用,25.928600045364234,2.2362298541862953,70.83333333333334,宽货币宽信用,25.928600045364234,0.0,12.461744897557935,10.0,False,保留
中证500主连,紧货币紧信用,8.59083751643135,0.7531977252433834,57.14285714285714,宽货币宽信用,25.928600045364234,17.337762528932885,12.461744897557935,10.0,True,较最佳周期低 17.3 个百分点，且不高于三周期中位数
原油主连,宽货币紧信用,13.322151155919304,1.4558084706311825,52.17391304347826,紧货币紧信用,22.396473230587976,9.074322074668672,13.322151155919304,10.0,False,保留
原油主连,宽货币宽信用,-16.79112474894562,-0.9375334115312152,54.166666666666664,紧货币紧信用,22.396473230587976,39.18759797953359,13.322151155919304,10.0,True,较最佳周期低 39.2 个百分点，且不高于三周期中位数
原油主连,紧货币紧信用,22.396473230587976,1.8673302799532874,50.0,紧货币紧信用,22.396473230587976,0.0,13.322151155919304,10.0,False,保留
沪深300主连,宽货币紧信用,-0.25223272363001925,0.16557776392309442,49.275362318840585,紧货币紧信用,18.156271723445872,18.40850444707589,15.779412440595841,10.0,True,较最佳周期低 18.4 个百分点，且不高于三周期中位数
沪深300主连,宽货币宽信用,15.779412440595841,1.466129780193046,62.5,紧货币紧信用,18.156271723445872,2.376859282850031,15.779412440595841,10.0,False,保留
