date,策略名称,周期划分,资产池,风险平价资产池,风险平价入选资产数,股指期货信号,股指期货仓位,沪深300主连,10年国债主连,沪金主连,豆粕主连,中证1000主连,中证500主连,30年国债主连,红利低波ETF,沪铜主连,沪铝主连,PTA主连,原油主连,资金占用比例
2018-01-02,货币信用周期策略0.2（股指信号）,紧货币紧信用,10年国债主连、原油主连、沪深300主连、沪铜主连、红利低波ETF、豆粕主连,10年国债主连、沪铜主连、豆粕主连,3,1.0,0.3,0.15,0.45174738491830657,0.0,0.13909493412558277,0.0,0.15,0.0,0.0,0.1091576809561105,0.0,0.0,0.0,0.08884125501226112
2018-02-01,货币信用周期策略0.2（股指信号）,紧货币紧信用,10年国债主连、原油主连、沪深300主连、沪铜主连、红利低波ETF、豆粕主连,10年国债主连、沪铜主连、豆粕主连,3,1.0,0.3,0.15,0.44479650524932995,0.0,0.15739381247882156,0.0,0.15,0.0,0.0,0.0978096822718484,0.0,0.0,0.0,0.0892306574169758
2018-03-01,货币信用周期策略0.2（股指信号）,紧货币紧信用,10年国债主连、原油主连、沪深300主连、沪铜主连、红利低波ETF、豆粕主连,10年国债主连、沪铜主连、豆粕主连,3,1.0,0.3,0.15,0.4354772268437987,0.0,0.17079302883397393,0.0,0.15,0.0,0.0,0.09372974432222732,0.0,0.0,0.0,0.09008678351106796
2018-04-02,货币信用周期策略0.2（股指信号）,宽货币紧信用,10年国债主连、30年国债主连、PTA主连、中证1000主连、原油主连、沪金主连、沪铜主连、沪铝主连、红利低波ETF、豆粕主连,10年国债主连、PTA主连、原油主连、沪金主连、沪铜主连、沪铝主连、豆粕主连,7,-1.0,0.0,0.0,0.477863832379789,0.13033915628980336,0.11421084191450952,0.0,0.0,0.0,0.0,0.058321960353288654,0.07746974911038113,0.08818616209830098,0.05360829785392742,0.11716194540368102
2018-05-02,货币信用周期策略0.2（股指信号）,宽货币紧信用,10年国债主连、30年国债主连、PTA主连、中证1000主连、原油主连、沪金主连、沪铜主连、沪铝主连、红利低波ETF、豆粕主连,10年国债主连、PTA主连、原油主连、沪金主连、沪铜主连、沪铝主连、豆粕主连,7,-1.0,0.0,0.0,0.4274382012276151,0.15320971775878503,0.10537154081031275,0.0,0.0,0.0,0.0,0.0779431182000188,0.0618748120604744,0.11424653275978612,0.0599160771830078,0.1282489004178959
2018-06-01,货币信用周期策略0.2（股指信号）,宽货币紧信用,10年国债主连、30年国债主连、PTA主连、中证1000主连、原油主连、沪金主连、沪铜主连、沪铝主连、红利低波ETF、豆粕主连,10年国债主连、PTA主连、原油主连、沪金主连、沪铜主连、沪铝主连、豆粕主连,7,-1.0,0.0,0.0,0.38685979807526233,0.17397925204138795,0.08576122898520727,0.0,0.0,0.0,0.0,0.09558023490085692,0.08268116920098922,0.11207402562921599,0.06306429116708039,0.13728962747827497
2018-07-02,货币信用周期策略0.2（股指信号）,宽货币紧信用,10年国债主连、30年国债主连、PTA主连、中证1000主连、原油主连、沪金主连、沪铜主连、沪铝主连、红利低波ETF、豆粕主连,10年国债主连、PTA主连、原油主连、沪金主连、沪铜主连、沪铝主连、豆粕主连,7,-1.0,0.0,0.0,0.4416560184560171,0.17155109788563705,0.0873184461084203,0.0,0.0,0.0,0.0,0.06840030007002094,0.07295719235828876,0.08945438094491792,0.06866256417669797,0.13022356994918238
2018-08-01,货币信用周期策略0.2（股指信号）,宽货币紧信用,10年国债主连、30年国债主连、PTA主连、中证1000主连、原油主连、沪金主连、沪铜主连、沪铝主连、红利低波ETF、豆粕主连,10年国债主连、PTA主连、原油主连、沪金主连、沪铜主连、沪铝主连、豆粕主连,7,-1.0,0.0,0.0,0.38314650534455236,0.19418230358300986,0.09322558731981437,0.0,0.0,0.0,0.0,0.05955150635744788,0.08826325650178293,0.1151256214829735,0.06650521941041909,0.140572421909349
2018-09-03,货币信用周期策略0.2（股指信号）,宽货币紧信用,10年国债主连、30年国债主连、PTA主连、中证1000主连、原油主连、沪金主连、沪铜主连、沪铝主连、红利低波ETF、豆粕主连,10年国债主连、PTA主连、原油主连、沪金主连、沪铜主连、沪铝主连、豆粕主连,7,-1.0,0.0,0.0,0.3737639070413076,0.18564429707849348,0.07455979744471236,0.0,0.0,0.0,0.0,0.07190978841822154,0.10649060462094512,0.12245818129647268,0.06517342409984733,0.14123472394444164
2018-10-08,货币信用周期策略0.2（股指信号）,宽货币紧信用,10年国债主连、30年国债主连、PTA主连、中证1000主连、原油主连、沪金主连、沪铜主连、沪铝主连、红利低波ETF、豆粕主连,10年国债主连、PTA主连、原油主连、沪金主连、沪铜主连、沪铝主连、豆粕主连,7,-1.0,0.0,0.0,0.3864525969042258,0.18351068143992344,0.0884728249197478,0.0,0.0,0.0,0.0,0.08257718067595864,0.1016256654941589,0.07796941633764072,0.07939163422834473,0.14067835208303947
