回测区间,组合/资产,年化收益,年化波动,夏普比率,最大回撤,月度胜率,平均资金占用
全局 (Total),沪深300主连,4.68%,20.72%,0.32,-41.62%,52.08%,14.00%
全局 (Total),10年国债主连,3.07%,3.08%,1.00,-4.99%,64.58%,2.50%
全局 (Total),沪金主连,15.63%,13.66%,1.13,-21.72%,57.29%,28.00%
全局 (Total),豆粕主连,9.52%,18.58%,0.58,-28.17%,53.12%,13.00%
全局 (Total),中证1000主连,5.35%,16.91%,0.39,-39.86%,23.96%,14.00%
全局 (Total),中证500主连,10.99%,23.30%,0.56,-36.00%,58.33%,14.00%
全局 (Total),30年国债主连,2.27%,3.90%,0.59,-8.02%,20.83%,5.00%
全局 (Total),红利低波ETF,12.05%,16.03%,0.79,-16.07%,50.00%,100.00%
全局 (Total),沪铜主连,8.20%,16.58%,0.56,-34.69%,55.21%,16.00%
全局 (Total),沪铝主连,7.11%,16.80%,0.49,-30.63%,50.00%,16.00%
全局 (Total),PTA主连,-0.23%,25.02%,0.12,-59.07%,51.04%,17.00%
全局 (Total),原油主连,-1.76%,34.52%,0.12,-74.56%,52.08%,32.00%
全局 (Total),货币信用周期策略0.2（股指信号）,13.30%,6.38%,1.99,-5.39%,75.00%,15.38%
2018年,沪深300主连,-24.90%,23.92%,-1.08,-30.21%,41.67%,14.00%
2018年,10年国债主连,5.12%,3.69%,1.37,-2.52%,75.00%,2.50%
2018年,沪金主连,0.57%,6.72%,0.12,-7.89%,33.33%,28.00%
2018年,豆粕主连,7.69%,18.69%,0.49,-14.85%,58.33%,13.00%
2018年,中证1000主连,0.00%,0.00%,0.00,0.00%,0.00%,14.00%
2018年,中证500主连,-28.82%,26.47%,-1.15,-32.43%,33.33%,14.00%
2018年,30年国债主连,0.00%,0.00%,0.00,0.00%,0.00%,5.00%
2018年,红利低波ETF,0.00%,0.00%,0.00,0.00%,0.00%,100.00%
2018年,沪铜主连,-14.80%,14.40%,-1.04,-15.94%,33.33%,16.00%
2018年,沪铝主连,-15.83%,13.25%,-1.23,-14.66%,33.33%,16.00%
2018年,PTA主连,11.26%,19.93%,0.63,-26.68%,58.33%,17.00%
2018年,原油主连,-14.89%,24.70%,-0.53,-42.86%,50.00%,32.00%
2018年,货币信用周期策略0.2（股指信号）,8.64%,5.38%,1.57,-4.43%,83.33%,12.20%
2019年,沪深300主连,39.88%,20.44%,1.74,-13.52%,75.00%,14.00%
2019年,10年国债主连,2.12%,3.08%,0.70,-2.23%,66.67%,2.50%
2019年,沪金主连,18.34%,13.35%,1.33,-9.51%,41.67%,28.00%
2019年,豆粕主连,5.57%,14.70%,0.44,-8.30%,41.67%,13.00%
2019年,中证1000主连,0.00%,0.00%,0.00,0.00%,0.00%,14.00%
2019年,中证500主连,42.06%,24.64%,1.55,-19.98%,83.33%,14.00%
2019年,30年国债主连,0.00%,0.00%,0.00,0.00%,0.00%,5.00%
2019年,红利低波ETF,21.84%,15.08%,1.39,-12.09%,75.00%,100.00%
2019年,沪铜主连,1.36%,9.37%,0.19,-8.57%,50.00%,16.00%
2019年,沪铝主连,4.64%,8.20%,0.59,-4.75%,58.33%,16.00%
2019年,PTA主连,-6.97%,23.32%,-0.19,-25.85%,41.67%,17.00%
2019年,原油主连,28.06%,26.95%,1.05,-22.30%,66.67%,32.00%
2019年,货币信用周期策略0.2（股指信号）,17.79%,7.66%,2.18,-5.22%,75.00%,16.68%
2020年,沪深300主连,33.67%,25.25%,1.28,-17.16%,58.33%,14.00%
2020年,10年国债主连,2.01%,4.32%,0.48,-4.86%,50.00%,2.50%
2020年,沪金主连,12.83%,18.62%,0.74,-17.77%,58.33%,28.00%
2020年,豆粕主连,28.39%,17.75%,1.50,-9.04%,75.00%,13.00%
2020年,中证1000主连,0.00%,0.00%,0.00,0.00%,0.00%,14.00%
2020年,中证500主连,34.79%,27.09%,1.24,-15.26%,75.00%,14.00%
2020年,30年国债主连,0.00%,0.00%,0.00,0.00%,0.00%,5.00%
2020年,红利低波ETF,9.94%,21.25%,0.55,-15.80%,50.00%,100.00%
2020年,沪铜主连,17.15%,20.81%,0.87,-25.15%,50.00%,16.00%
2020年,沪铝主连,21.13%,18.45%,1.13,-21.05%,58.33%,16.00%
2020年,PTA主连,-32.43%,24.23%,-1.50,-41.61%,41.67%,17.00%
2020年,原油主连,-59.89%,44.76%,-1.81,-69.25%,41.67%,32.00%
2020年,货币信用周期策略0.2（股指信号）,19.95%,8.17%,2.27,-4.95%,66.67%,16.29%
2021年,沪深300主连,-1.43%,18.46%,0.01,-15.14%,58.33%,14.00%
2021年,10年国债主连,4.39%,2.94%,1.47,-1.78%,58.33%,2.50%
2021年,沪金主连,-6.75%,12.70%,-0.49,-11.93%,41.67%,28.00%
2021年,豆粕主连,-4.78%,20.02%,-0.15,-20.02%,33.33%,13.00%
2021年,中证1000主连,0.00%,0.00%,0.00,0.00%,0.00%,14.00%
2021年,中证500主连,25.55%,13.87%,1.71,-8.86%,75.00%,14.00%
2021年,30年国债主连,0.00%,0.00%,0.00,0.00%,0.00%,5.00%
2021年,红利低波ETF,23.42%,17.50%,1.29,-14.60%,58.33%,100.00%
2021年,沪铜主连,23.55%,20.70%,1.12,-14.91%,50.00%,16.00%
2021年,沪铝主连,33.92%,26.26%,1.24,-25.51%,50.00%,16.00%
2021年,PTA主连,29.57%,30.29%,1.01,-20.96%,66.67%,17.00%
2021年,原油主连,58.63%,37.06%,1.43,-18.47%,66.67%,32.00%
2021年,货币信用周期策略0.2（股指信号）,12.94%,6.95%,1.78,-3.84%,66.67%,16.27%
